fastspring,Feb 6,5,Brunch söndag,"Härlig söndags brunch med musik, fullbokat men trots det inte stökigt utan gick att prata . Liveband spelade helt lagom högt.  Går gärna hit igen. Stor variation på mat och dryck . Kan beställa omelett som hörs på plats eller göra egna våfflor.  ","Response from GrandHoteLund, Receptionist at Grand Hotel LundResponded 4 days ago",Responded 4 days ago,"Kära fastspring,  Stort tack för ditt omdöme och dina fina ord. Det gläder oss att du hade en sån fin upplevelse hos oss. Vi ser fram emot att få välkomna dig till Grand Hotel snart igen!  Önskar dig en underbar dag!  Med vänliga hälsningar, Katarina  ",Date of stay: February 2019,"[All, languages]",493
johanVarberg,Jan 2016,3,Klassiskt hotell men för dyrt,"Ett gammalt klassiskt hotell som nog många vill bo på.Rummen för små,tv en väldigt liten variant,badrum för litet.Med tanke på det saftiga priset är det inte värt detta.Speciellt i Skåne där hotellpriserna ligger lågt (Malmö) Fantastisk frukost i en storslagen miljö. Men man kan…","Response from GrandHotel_Lund, Receptionschef at Grand Hotel LundResponded Jan 22, 2016","Responded Jan 22, 2016","Bäste Johan –   Tack för din recension. Hotellets 83 rum skiljer sig åt vad det gäller storlek, inredning och prisklass. Vår målsättning är att samtliga rum skall hålla en hög standard och vi arbetar kontinuerligt för att våra rum skall möta våra gästers förväntningar.   Vi hoppas att du väljer att komma tillbaka till Grand Hotel vid ett annat tillfälle och kontakta då gärna mig inför besöket, så kan jag guida dig till en rumskategori som passar dina önskemål.   Med vänlig hälsning, Marie Winsnes Grönlund Receptionschef Marie.winsnes@grandilund.se ",Date of stay: January 2016,"[All, languages]",493
Gitsjen,Jan 2016,5,Fantastisk og overraskende,Grand Hotel er et super flot og velholdt hotel i Lund. Det er svært at finde et bedre placeret hotel. Det er tæt på alt. God morgenmad og super fin bar / restaurant. Vi var der den 25.12. hvor der var stor cocktail fest. Fantastisk,"Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Jan 6, 2016","Responded Jan 6, 2016","Kära Gitsjen -  Stort tack för din fina recension. Varmt välkommen tillbaka till Grand Hotel!  Med vänlig hälsning, Björn Gustavsson Receptionschef",Date of stay: December 2015,"[All, languages]",493
smokedpaprika,Jan 2016,5,"Quiet, comfortable accommodation in an excellent location","We stayed here for three nights to attend a wedding on New Year's Eve, and really enjoyed the experience. The hotel is, as the name suggests, grand in design, with marble floors, wood panelling and lovely chandeliers. The staff are absolutely lovely and very welcoming.   Our…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Jan 6, 2016","Responded Jan 6, 2016","Dear Smokedpaprika -  Thank you for your kind review. I am very glad that you had a pleasant stay.  Kind regards, Björn Gustavsson Front Desk Manager",Date of stay: December 2015,"[All, languages]",493
Tompilompa,Jan 2016,4,Hotellvistelse 3 nätter,"Trevlig atmosfär,  mycket tillmötesgående personal o riktigt bra frukost.  För att vara lite gnällig var rumsstädningen så där,  men att lakanen inte var sträckta kan o bör man kunna leva med. Parkering finns 400 meter bort. 120 kr dygn.  Köp biljett där eller i receptionen. ","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Jan 6, 2016","Responded Jan 6, 2016","Bäste Tompilompa -  Tack för din trevliga recension. Samtidigt som mina kollegor och jag blir glada för beröm är vi endast tacksamma för konstruktiv feedback på vad som kan förbättras. Planer på hur vi kan ytterligare förbättra städningen av våra hotellrum är fastställda och kommer implementeras under första halvåret.  Jag önskar dig varmt välkommen tillbaka till Grand Hotel.  Med vänlig hälsning, Björn Gustavsson Receptionschef ",Date of stay: January 2016,"[All, languages]",493
mallyr69,Jan 2016,1,Sämsta vi varit med om!,"Skitit, slitet och ingen känsla för service. Absolut smutsigaste hotellrum vi varit i, tjocka dammråttor på lister och lampor, kvarglömd gammal blomvas i fönstret, ingrodd smuts i duschen, fullt i restaurangen utan vilja att hjälpa 2 boende gäster, helt otroligt...!","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Jan 6, 2016","Responded Jan 6, 2016","Bäste Mallyr69 -  Mycket tråkig läsning - som jag uppskattar att du delger mig.   Tacksam om du kontaktar hotellet direkt via nedanstående email så kan vi diskutera vad som har skett.   Med vänlig hälsning, Björn Gustavsson Receptionschef info@grandilund.se",Date of stay: January 2016,"[All, languages]",493
Terri526,Dec 2015,4,Great Hotel - best place to stay!,"The location of the Grand Hotel is absolutely perfect - exactly where you want to be. The lobby has a beautiful grand decor and the restaurant is impressive.  The rooms are all different, the two we had were small by American standards but typical size for Europe and very…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Jan 6, 2016","Responded Jan 6, 2016","Dear Terri -  Thank you for your kind review. I do hope that you will return to Lund and Grand Hotel in the not too distant future.  Kind regards, Björn Gustavsson Front Desk Manager",Date of stay: November 2015,"[All, languages]",493
1.gang,Dec 2015,4,god sovekvalitet,"Vi havde et værelse på 3. sal som indholdt en pragtfuld seng, 2 stole, der var behagelige at sidde i. Minus var skydedør til badeværelset/toilettet, men det løste vi ved at spille musik på værelset. Det er et stort hotel med mange arrangementer og der mangler helt klart et sted…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Jan 6, 2016","Responded Jan 6, 2016","Kära Gäst -  Tack för din recension - det glädjer mig att du fick ett positivt intryck av Grand Hotel.  Som ett av få hotell har vi en bekväm cigar lounge tillgänglig för våra gäster bortom receptionens stora foajé. Vi märker dock att gäster ibland röker i närheten av huvudentrén och skall därför försöka informera om nämnda lounge på ett tydligare sätt.  Med vänlig hälsning, Björn Gustavsson Receptionschef   ",Date of stay: December 2015,"[All, languages]",493
Tomas B,Dec 2015,5,Ypperligt!,"Vi satt i Grands matsal i den delen omgärdade av vinställ med transparenta monterar. Hela resan från förrätt till efterätt, matkvalitet, service och atmosfär gav vår kväll en enastående kväll.   Jag har besökt Grand tiotalet gånger men detta besök slog allt, utan att baissa de…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Jan 6, 2016","Responded Jan 6, 2016","Bäste Tomas -  Glädjande läsning - varmt välkommen tillbaka till Grand Hotel!  Med vänlig hälsning, Björn Gustavsson Receptionschef",Date of stay: November 2015,"[All, languages]",493
Sigurd18,Dec 2015,5,One of the classic Swedish hotels,"This is the place to stay when in Lund. Classic hotel atmosphere and beautiful non-standard rooms. Still has all modern conveniences. Breakfast is good with a lot of local food. I did not have dinner here this time, but I wish I would have had the time - the restaurant never…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Jan 6, 2016","Responded Jan 6, 2016","Dear Sigurd -  Thank you for your kind review. I do hope that you will have the opportunity to dine at the Grand during your next stay.  Kind regards, Björn Gustavsson Front Desk Manager",Date of stay: December 2015,"[All, languages]",493
Lasse62,Dec 2015,5,Utmärkt service,Vi fick ett oerhört positivt intryck direkt vid incheckningen.Snabbt och elegant. Bra hantering av bilen och ett väldigt trevligt och personligt rum.Frukosten var excellent till både omfattning och kvalitet.,"Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Jan 6, 2016","Responded Jan 6, 2016","Bäste Lasse -  Stort tack för din trevliga sammanfattning av ditt besök på Grand Hotel. Mina kollegor och jag önskar dig varmt välkommen tillbaka.  Med vänlig hälsning, Björn Gustavsson Receptionschef",Date of stay: November 2015,"[All, languages]",493
jonasek1,Dec 2015,1,"Dyrt, dyrt och dyrt","Tradition är att äta Julbord på Grand Hotel i våran familj. Tyvärr var det nog sista gången. Servicen var inte bra, att beställa glögg innan julbordet tog en evighet. Hovmästaren som tog emot oss tittade förvånat och sa "" det tar vi sen"" när vi ville beställa glögg därefter tog…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Jan 6, 2016","Responded Jan 6, 2016","Bäste Jonas -  Tack för din feedback. Jag uppskattar mycket förtroendet du och familjen har givit Grand Hotel genom att vara återkommande gäster vid vårt julbord.   Jag utgår från att er tradition bygger på att ni tidigare har varit nöjda. Därför är jag tacksam för råd och tips om vad du anser har fungerat väl tidigare - men inte i år.  Tacksam om du skriver några ytterligare rader till nedanstående email så skall jag vidareförmedla detta till hotellets restaurangchef.   Med vänlig hälsning, Björn Gustavsson Receptionschef info@grandilund.se",Date of stay: December 2015,"[All, languages]",493
JeanMic31,Dec 2015,5,Confortable et accueillant,"Cet hôtel est vraiment sympa et assez luxueux. Situé non loin de la gare, l'hôtel est d'abord un bâtiment typique du début du 20ième siècle, plein de charme tel que l'on se sent bien dès son arrivée. Le personnel à l'accueil sont professionnels et souriants et ma chambre était…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Dec 13, 2015","Responded Dec 13, 2015","Dear JeanMic31 -  Thank you for your kind words about Grand Hotel. I hope that you will make it back for a pleasant long weekend.  Kind regards, Björn Gustavsson Front Desk Manager",Date of stay: November 2015,"[All, languages]",493
Anna U,Dec 2015,5,Ett underbart hotell!,"Detta är ett av mina favorithotell. Charmigt, god mat och dryck samt en fantastisk personal.Känner mig ordentligt ompysslad! Läget är också fantastiskt och det är oerhört vackra rum med personlig touch. Jag gillar också tygvalen samt möblerna. Allt är perfekt!","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Dec 2, 2015","Responded Dec 2, 2015","Kära Anna -  Stort tack för dina vänliga ord. Varmt välkommen tillbaka vid ditt nästa besök i Lund.  Med vänlig hälsning, Björn Gustavsson Receptionschef",Date of stay: November 2015,"[All, languages]",493
Håkan R,Dec 2015,5,Ett obligatoriskt stopp på Grand när vi besöker Julmarknaden,Cocktailbaren. Personalen är kunnig och atmosfären är skön när man med sina vänner vill ta en drink på lördagseftermiddag. Notera även ett mycket stort sortiment av Gin och tonic. 31 Ginsorter och 10 tonic innebär en del olika möjligheter...,"Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Dec 2, 2015","Responded Dec 2, 2015","Bäste Håkan -  Tack för det du skriver.   Dessutom bör du skynda dig tillbaka till Grand. I år har vår bar sin egen julkalender - varje dag fram till julafton sänker vi priset på en utvald gin & tonic!   Med vänlig hälsning, Björn Gustavsson Receptionschef",Date of stay: November 2015,"[All, languages]",493
SaraBus,Dec 2015,1,Bröllopsboende,Jag kommer att skriva en lång recension. Detta på grund av att jag och min man är mycket besvikna på Grand Hotel.  Mycket lite har fungerat och jag vill göra denna tjänst till kommande brudpar som överväger att ha sitt boende på Grand Hotel. Jag och min man ville ha ett lyxigt…,"Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Dec 2, 2015","Responded Dec 2, 2015","Kära SaraBus -  Jag uppskattar att du berättar om hur du upplevde din vistelse på Grand Hotel. Tråkigt att du blev besviken.   Mina kollegor och jag delar inte din beskrivning av samtliga nämnda händelser. Samtidigt tar vi till oss din kritik och skall använda den i vårt fortsatta förbättringsarbete.    Med vänlig hälsning, Björn Gustavsson Receptionschef",Date of stay: November 2015,"[All, languages]",493
skydiver4ever,Nov 2015,1,Kagebord arrangement jul,"Et utroligt dårligt arrangement - mangel på respekt for hvad man kan byde kunder. Nærmest tyveri på pris 95,- skr  serveret på et flygel. Virkelig skuffende af et hotel der burde vide hvad kvalitet bør være. Kommer der aldrig igen !! ..............","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Nov 30, 2015","Responded Nov 30, 2015","Hej Skydiver4ever -  Tack för din feedback. Arrangemanget du refererar till är ett inslag i ""Thomanders Jul"" som äger rum i centrala Lund på första advent varje år.   Nämnda kakbuffé är därför ett tillfälligt arrangemang och inte del av Grand Hotels vanliga utbud.   Det är tråkigt att du är missnöjd och vi tar till oss din kritik. Kontakta mig gärna direkt om du vill diskutera detta vidare.  Med vänlig hälsning, Björn Gustavsson Receptionschef bjorn.gustavsson@grandilund.se",Date of stay: November 2015,"[All, languages]",493
Luggagelostandfound,Nov 2015,5,Klassiskt!,"Vänlig personal i receptionen tog emot. Jag fick ett fint litet enkelrum högt upp i huset. Spännande att gå i marmortrapporna (fast det finns hiss förstås). Rent och fräscht, rymligt badrum. Ett extra plus för det jättestora badlakanet! Inga störande ventilationsljud. Mycket god…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Nov 30, 2015","Responded Nov 30, 2015","Bästa Luggagelostandfound -  Tack för dina trevliga ord och varmt välkommen tillbaka till Grand Hotel.  Med vänlig hälsning, Björn Gustavsson Receptionschef",Date of stay: November 2015,"[All, languages]",493
Jens W,Nov 2015,5,Full pott,Utan tvekan full pott. Här har jag känt mig välkomnad och omhändertagen vid de tillfällen jag haft nöjet att spendera natten på Lunds absolut bästa hotell. Faktum är att det är ett av de bästa hotellen jag bott på oavsett geografi. Hit kommer jag tillbaks utan att blinka.,"Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Nov 30, 2015","Responded Nov 30, 2015","Bäste Jens -  Stort tack! Jag önskar dig varmt välkommen tillbaka till Grand Hotel.  Med vänlig hälsning, Björn Gustavsson Receptionschef",Date of stay: October 2015,"[All, languages]",493
Celie,Nov 2015,4,beautiful decor mostly used for group events,"There are lots of events going on here: you'll find groups of students celebrating in June and on-going conferences throughout the year... This is not exactly where couples who hope to have quiet dinner would go, nor is it really meant for families but it does cater to both…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Nov 30, 2015","Responded Nov 30, 2015","Dear Animalbienpensant -  Thank you for your kind review.   I agree with you that the Grand is a popular venue for conferences and banquet dinners. Though I feel that this does not make the hotel a less ideal choice for couples or guests travelling alone.  I do hope that you will return to the Grand Hotel soon again.  Kind regards, Björn Gustavsson Front Desk Manager",Date of stay: November 2015,"[All, languages]",493
Marianne73234,Nov 2015,4,Grand Hotel,"Ett riktigt hotellhotell!  Endast några minuter från stationen och nära centrum Mycket vänlig personal. Pampig entré och trevliga rum. En härlig frukost med generösa tider, fram till kl 11 på helgerna.","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Nov 30, 2015","Responded Nov 30, 2015","Kära Marianne -  Stort tack för dina trevliga ord. Jag hoppas du återvänder till Grand Hotel snart igen.  Med vänlig hälsning, Björn Gustavsson Receptionschef",Date of stay: November 2015,"[All, languages]",493
SinePanfil,Nov 2015,5,"Hotel med stil, klasse og charme fra en svunden tid","Er netop kommet hjem fra en dejlig overnatning på Grand Hotel. Dejlige værelser, smukt indrettede, gode senge og dejlig rent. Morgenmadsbuffeten er i en klasse for sig, sjældent set bedre. Receptionisten var usædvanlig hjælpsom. Hotellet er tro mod den gamle stil og har bevaret…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Nov 30, 2015","Responded Nov 30, 2015","Kära SinePanfil -  Stort tack för dina trevliga ord. Det glädjer mig mycket att du planerar att besöka Grand Hotel igen.  Med vänlig hälsning, Björn Gustavsson Receptionschef",Date of stay: November 2015,"[All, languages]",493
Angelasundgren,Nov 2015,4,Stiligt. ,"Vackert och välkomnande hotell beläget med promenadavstånd till det mesta i Lund. Otroligt god och energigivande frukost som bör avnjutas under många timmar. Söta enkelrum, dock i minsta laget. Bra städning. Dock är man tvungen att be om mer schampoo, balsam och tvål när de man…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Nov 30, 2015","Responded Nov 30, 2015","Kära Angela -  Tack för din vänliga ord om Grand Hotel.   Du har helt rätt som tar för givet att produkter som tvål och schampoo skall fyllas på under din vistelse utan att du behöver be om detta. Jag ber dig om ursäkt att detta missades på ditt rum.  Hoppas att du återvänder snart igen och att vi då kan erbjuda en helt perfekt upplevelse.  Med vänlig hälsning, Björn Gustavsson Receptionschef",Date of stay: December 2014,"[All, languages]",493
KhaledSahli88,Nov 2015,3,Helt okej,Vi bodde en natt i detta hotell för att min vän hade bröllop här. Bröllopslokal var fantastik vacker och servicen är mycket hög. Rummet var inget speciellt alls och frukost helt okej. Läget är super bra med när till allt i Lund,"Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Nov 30, 2015","Responded Nov 30, 2015","Bäste Khaled -  Tack för din recension - det glädjer mig att du fick ett bra helhetsintryck av Grand Hotel.  Våra hotellrum varierar i storlek och inredning. Jag hoppas du skall få ett bättre intryck av våra rum vid kommande besök.  Med vänlig hälsning, Björn Gustavsson Receptionschef",Date of stay: September 2015,"[All, languages]",493
Hans B,Oct 2015,4,"Grand Hotel Lund, a Grand Hotel for celebrations and dining","Laureates mixed with students and tourists. Especially in spring. A long bardesk. Excellent food. Sometimes guite noisy depending on both academic and/or business celebrations. Very good facilities for seminars and gatherings. Parking, ask the hotel.","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Oct 27, 2015","Responded Oct 27, 2015","Dear Hans -  Thank you for your review. I agree with you - Grand Hotel is the social hub of Lund.  Kind regards, Björn Gustavsson Front Desk Manager",Date of stay: March 2015,"[All, languages]",493
ewyhsd,Oct 2015,3,Fint hotell med bra frukost,"Jag bodde en natt på hotellet med min familj. Hotellet var jättefint och med trevlig person, men rummet var väldigt litet och tråkigt. Badrumsdörren bestod av en skjutdörr i glas som inte gick att stänga ordentligt och med ett enormt ljudutsläpp. När en familjemedlem gick upp…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Oct 27, 2015","Responded Oct 27, 2015","Hej Ewyhsd -  Tack för din recension och den trevliga rubriken.   Hotellets rum skiljer sig åt vad gäller storlek och inredning. Vi önskar naturligtvis att samtliga rum skall upplevas som bekväma och prisvärda.   Jag hoppas att du återvänder till Grand Hotel och ber dig kontakta mig inför besöket så att vi kan föra en dialog om vilken rumskategori som passar dig bäst.  Med vänlig hälsning, Björn Gustavsson Receptionschef",Date of stay: July 2015,"[All, languages]",493
Bredaberg,Oct 2015,1,Completely lost it,"Used to stay here many years ago. Was looking forward to returning. Very worn down. Cracking paint on windowsills, missing wood blocks in floor, non working minibar. No interest at all from staff. Arrived a few minutes after 10 pm. Bar closed. Suggested I use minibar.   Will not…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Oct 27, 2015","Responded Oct 27, 2015","Dear Bredaberg -  I am sorry to learn of your dissatisfaction with your stay.  Such an unpleasant experience is not acceptable at our hotel. I am most grateful if you can contact me with more details.   Kind regards, Björn Gustavsson Front Desk Manager bjorn.gustavsson@grandilund.se",Date of stay: October 2015,"[All, languages]",493
Swedishtraveller767,Oct 2015,4,Old-fashioned grand style hotel,"A more than hundred years old hotel that has housed many Swedish celebreties like Fritjof Nilsson Piraten and Sten Broman. Avoid rooms at the first floor adjacent to Klostergatan, noisy deliveries there in the morning. Fantastic restaurant and breakfast. Small, non-luxury rooms.","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Oct 27, 2015","Responded Oct 27, 2015","Dear Swedishtraveller767 -  Thank you for your review. I hope to see you back at the Grand soon again.   Please send us a note regarding your room preference before your next visit and we will make sure to arrange a room for you away from the shopping street.  Kind regards, Björn Gustavsson Front Desk Manager",Date of stay: October 2015,"[All, languages]",493
Maria J,Oct 2015,5,"Klassisk, romantisk hotel med fantastisk morgenmad!","Grand Hotel i Lund er en perle og det oplagte sted at bo med sin kæreste eller ægtefælle under et kort besøg i Lund. Morgenmaden er fremragende med mange økologiske og lokale produkter. En kok tilbereder æg og pandekager efter ønske. Værelser, rengøring, madrasser, service m.m.…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Oct 27, 2015","Responded Oct 27, 2015","Kära Maria -  Stort tack för din trevliga recension. Varmt välkommen tillbaka till Grand Hotel.  Med vänlig hälsning, Björn Gustavsson Receptionschef",Date of stay: October 2015,"[All, languages]",493
PhilViking,Oct 2015,5,"Great Style, Grand Food, Great Hotel","You rarely discover fine, old hotels anymore.  Most have been ""remodeled"" to the extent that they lose their former charm.  This one is different -- the rooms and dining area retain their Charm.  From the first steps into the Lobby, you know this is a place that kept the charm. …","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Oct 27, 2015","Responded Oct 27, 2015","Dear PhilViking -  Thank you for your very kind review. I do hope to see you back at the Grand soon again.  Kind regards, Björn Gustavsson Front Desk Manager",Date of stay: July 2015,"[All, languages]",493
kaldivstgn,Oct 2015,5,I will come back soon,"Top of the hotel list for location in Lund. A bit down the list for overall hotel reviews - but from the photos of both inside and outside of the Grand Hotel, I knew I had to try this place. It did not dissapoint. Very fair rate via booking.com and for a night's stay in Lund…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Oct 27, 2015","Responded Oct 27, 2015","Dear Kaldivstgn -  Thank you! I hope to see you back at the Grand soon again.  Kind regards, Björn Gustavsson Front Desk Manager",Date of stay: September 2015,"[All, languages]",493
Gunnel B,Oct 2015,3,FRIENDLY BUT TERRIBLY SLOPPY,"Lovely location, historic atmosphere and very friendly personnel at every interaction - but spending 2 nights here does sometimes feel like you are in a bad movie; cleaning lady forgets her cleaning gear in the room, you book a table for breakfast and it isn't there, and despite…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Nov 30, 2015","Responded Nov 30, 2015","Dear Gunnel -  Thank you for your kind words about many aspects of the hotel and your constructive criticism about issues were you feel that we failed.  I do hope to see you back at the Grand Hotel on future visits to Lund.   Kind regards, Björn Gustavsson Front Desk Manager",Date of stay: October 2015,"[All, languages]",493
THorsenB,Oct 2015,4,Dejligt ophold,"Pænt og ordentligt hotel, med god service, og dejlige værelser. Blev mødt af et overdådigt morgenbord. Lund er en hyggelig by. Maden i restauranten var meget god, og vinen tillige meget god. Et minus er udsigten til gården.","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Oct 11, 2015","Responded Oct 11, 2015","Bäste Brian -  Det glädjer mig mycket att du trivdes med både Grand Hotel och Lund.  Jag hoppas att du återvänder snart igen och då skall vi ordna ett rum med utsikt mot torget till dig.  Med vänlig hälsning, Björn Gustavsson Receptionschef",Date of stay: October 2015,"[All, languages]",493
Kajsa S,Oct 2015,5,Utmärkt service och mysigt rum,"Föredömlig personal (mannen som tog emot oss vid incheckningen var exeptionell!), supermysigt tornrum och himmelskt skön säng.  Noga städat, välfylld minibar och påkostad frukostbuffé med proffsig personal som gjorde att vi kände oss extra bortskämda.  Allt sammantaget var det…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Oct 6, 2015","Responded Oct 6, 2015","Hej Kajsa -  Stort tack för dina vänliga ord - det gör mig glad att ni trivdes.   Varmt välkommen tillbaka till Grand Hotel.  Med vänlig hälsning, Björn Gustavsson Receptionschef",Date of stay: October 2015,"[All, languages]",493
Birkerodfamily,Sep 2015,5,Very good service.Fantastic winecellar. Excellent food.,"We are a Group of five couples doing weekends together twice a year. This time in Southern Sweden. Staying at the ""old lady"" of university-campus-town Lund - Grand Hotel - was probably the best part of the weekend. Settings, service, wine, food - great.","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Oct 6, 2015","Responded Oct 6, 2015","Dear Birkerodfamily -  Thank you for your kind review of the Grand Hotel.   I do hope that your group of friends will come and stay at the Grand soon again. The city of Lund and the county of Skåne has plenty of sights and activities to offer.   Kind regards, Björn Gustavsson Front Desk Manager",Date of stay: September 2015,"[All, languages]",493
Helene J,Sep 2015,5,Nettes Personal und ein schönes Hotel.,Das Frühstück war sehr gut mit vielen regionalen und ökologischen Produkten. Ebenfalls war das Abendessen sehr lecker.  Das Zimmer war auch sehr edel und stilvoll eingerichtet. Mein Mann und ich kommen gern wieder!,"Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Oct 6, 2015","Responded Oct 6, 2015","Dear Helene J -  Thank you for your very kind review of the Grand Hotel.   I do hope that you will return soon again.  Kind regards, Björn Gustavsson Front Desk Manager",Date of stay: July 2015,"[All, languages]",493
KSTigers1985,Sep 2015,4,親切なスタッフ,北欧のホテルはスタッフがぶっきらぼうなことが多いですが、さすがにルンドの高級ホテルだけあって、スタッフの対応は素晴らしかったです。4階（日本の5階）の部屋だったのですが、3階から4階に上がる階段のところに無料のNESPRESSOがありました。不満な点は、建物が古いせいか、部屋の扉を閉めるにの苦労したくらいです。,"Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Oct 6, 2015","Responded Oct 6, 2015","Dear KSTigers -  Thank you for your kind review of the Grand Hotel.   I am especially grateful for your positive comments about the attitude of the staff members.  Kind regards, Björn Gustavsson Front Desk Manager",Date of stay: September 2015,"[All, languages]",493
Gwyndaf E,Sep 2015,3,Amazing in some respects but let down by things just falling apart and small room.,This is a place with history and character. The restaurant and bar are excellent - I love the dining room at breakfast time - wonderful scrambled eggs and good coffee. The end-room I was given was just a little small with a highly uncomfortable single bed. Shower room was also…,"Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Oct 6, 2015","Responded Oct 6, 2015","Dear Gwyndaf -  Thank you for your many kind comments about different aspects of the Grand Hotel - despite the fact that you experienced some poignant shortcomings during your stay.  I apologise that you did not have a good night's sleep and I do hope that I will be able to make this up to you in the future.  Please contact me directly when planning your next visit to Lund.  Kind regards, Björn Gustavsson Front Desk Manager bjorn.gustavsson@grandilund.se",Date of stay: September 2015,"[All, languages]",493
anglosuisse,Sep 2015,2,"ok rooms, but extremely low value","I stayed at a number of hotels in Lund over the last few years. I had also previously attended some events at the Grand Hotel, which I really enjoyed. The hotel is very beautiful, particularly the lower floors where the events are held.   Recently I booked a ""classic single…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Oct 6, 2015","Responded Oct 6, 2015","Dear Anglosuisse -  Thank you for your review. I am sorry that you do not feel that you were offered value for money during your last stay.   The Grand is a more expensive alternative than many of Lund's other hotels. Though this of course meant to be matched by a higher quality hotel and dining experience.   I hope to rebuild your trust in the Grand and would be most grateful if you can contact me directly before your next visit to Lund.  Kind regards, Björn Gustavsson Front Desk Manager",Date of stay: September 2015,"[All, languages]",493
Lee S,Sep 2015,2,Go to the Bistro,"The Grand Hotel's Bistro is very good and very reliable. I went to the restaurant when the bistro was full. There was a small menu of very highly priced dishes, that when they came were extremely small. A strange difference from the other part of the restaurant. And when will…","Response from Bjorn_Gustavsson, Head Waiter at Grand Hotel LundResponded Oct 15, 2015","Responded Oct 15, 2015","Dear Lee S -  Thanks for your feedback. I am sorry that you experienced your visit that way.  We have many guests who appreciate our two restaurants, and that we have a different focus on the food.  Please contact me before a future visit so we can give you a better experience.  Kind regards, Jimmy Johansson Head Waiter",Date of stay: September 2015,"[All, languages]",493
971ibf,Sep 2015,5,Fint hotel i den gamle stil,"Et fascinerende hotel med gammelt og nyt. Går man rundt på Grand Hotel støder man på talrige minder om Lunds historie som universitets- og kulturby. I restauranterne, baren og den store festsal har man kunnet møde mange af byens ledende personligheder. Fortsættelsen af historien…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Sep 19, 2015","Responded Sep 19, 2015","Bäste 971ibf -  Det glädjer mig att du trivs både i Lund och på Grand Hotel. Jag hoppas få välkomna dig tillbaka snart igen.  Med vänlig hälsning, Björn Gustavsson Receptionschef",Date of stay: December 2014,"[All, languages]",493
Leslie K,Sep 2015,4,Charming period hotel,This hotel dates from the 19th Century and has many period features.   We stayed in a standard room which is of average size with a modern bathroom. The rooms are very clean but the beds are not the most comfortable we have ever experienced and the lack of air conditioning was…,"Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Sep 13, 2015","Responded Sep 13, 2015","Dear Leslie -  Thank you for your kind review. My colleagues and I are very pleased that you enjoyed your stay.  I hope to see you back at the Grand in the not too distant future.  Kind regards, Björn Gustavsson Front Desk Manager",Date of stay: August 2015,"[All, languages]",493
