,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y,string
222,Lund_00702,Botanical garden,Garden,Property,Mansion,Building,Estate,Botany,Flower,Spring,Plant,Lundagérd,'v Rafael Schwartz, May 2018,"Botanical garden,Garden,Property,Mansion,Building,Estate,Botany,Flower,Spring,Plant"
223,Lund_02478,Freshwater marsh,Marsh,Natural landscape,Natural environment,Wetland,Fen,Grassland,Pasture,Nature reserve,Salt marsh,Nobbel6vs mosse,M Maria Tracz, May 2018,"Freshwater marsh,Marsh,Natural landscape,Natural environment,Wetland,Fen,Grassland,Pasture,Nature reserve,Salt marsh"
224,Lund_01306,Grass,Public space,Natural landscape,Walkway,Daytime,Tree,Road,Lawn,Land lot,Park,LRI EL Y T,5‘3.‘..@ LU G, May 2016,"Grass,Public space,Natural landscape,Walkway,Daytime,Tree,Road,Lawn,Land lot,Park"
225,Lund_02026,Garden,Botanical garden,Botany,Tree,Grass,Park,Lawn,Shrub,Walkway,Plant,Stadsparken,v‘\ﬁv;‘; Aktham Yousef, May 2018,"Garden,Botanical garden,Botany,Tree,Grass,Park,Lawn,Shrub,Walkway,Plant"
226,Lund_02078,Garden,Botanical garden,Natural landscape,Tree,Botany,Park,Spring,Estate,Plant,Grass,Stadsparken,% William Térneber, May 2018,"Garden,Botanical garden,Natural landscape,Tree,Botany,Park,Spring,Estate,Plant,Grass"
227,Lund_00656,Medieval architecture,Landmark,Building,Architecture,Classical architecture,Historic site,Facade,Byzantine architecture,Place of worship,Church,Lund Cathedral,@ Andreas Schaller, May 2016,"Medieval architecture,Landmark,Building,Architecture,Classical architecture,Historic site,Facade,Byzantine architecture,Place of worship,Church"
228,Lund_00566,Building,Landmark,Property,Architecture,Mansion,Classical architecture,Estate,Palace,Tree,House,Lundagérd,'v Rafael Schwartz, May 2018,"Building,Landmark,Property,Architecture,Mansion,Classical architecture,Estate,Palace,Tree,House"
229,Lund_00290,Landmark,Building,Castle,Architecture,Estate,Tree,Grass,Sky,Spring,Medieval architecture,Lundagérd =,% Vesna Fati¢, May 2017,"Landmark,Building,Castle,Architecture,Estate,Tree,Grass,Sky,Spring,Medieval architecture"
230,Lund_02700,Pasture,Grazing,Grassland,Bovine,Field,Sky,Grass,Farm,Meadow,Natural landscape,Rinnebéck Gorge,(% Felicia Johansso, May 2018,"Pasture,Grazing,Grassland,Bovine,Field,Sky,Grass,Farm,Meadow,Natural landscape"
231,Lund_00841,Tree,Garden,Botany,Park,Botanical garden,Grass,City,Sky,Architecture,Tourism,Lundagérd,S Srdjan Krajnalic, May 2016,"Tree,Garden,Botany,Park,Botanical garden,Grass,City,Sky,Architecture,Tourism"
232,Lund_02263,Natural landscape,Nature,Nature reserve,Vegetation,Grass,Tree,Biome,Watercourse,Grass family,Plant community,Rinnebick Gorge 2,Fredrik Holte, May 2018,"Natural landscape,Nature,Nature reserve,Vegetation,Grass,Tree,Biome,Watercourse,Grass family,Plant community"
233,Lund_00790,Medieval architecture,Architecture,Landmark,Building,Place of worship,Classical architecture,Cathedral,Facade,Gothic architecture,Church,OLYMPUS DIGITAL C,@ Mariusz Denkiew, May 2016,"Medieval architecture,Architecture,Landmark,Building,Place of worship,Classical architecture,Cathedral,Facade,Gothic architecture,Church"
234,Lund_01865,Property,Building,Estate,House,Architecture,Town,Home,Real estate,Mansion,Manor house,Kulturen,AnexcaHap KoHc, May 2018,"Property,Building,Estate,House,Architecture,Town,Home,Real estate,Mansion,Manor house"
235,Lund_00959,Landmark,Fountain,Architecture,Water feature,Memorial,Spring,Estate,Tree,Park,Plaza,Lundagérd,e S YD R E, May 2018,"Landmark,Fountain,Architecture,Water feature,Memorial,Spring,Estate,Tree,Park,Plaza"
236,Lund_00703,Body of water,Reflection,Water,Waterway,Natural landscape,Canal,Pond,Bank,River,Sky,Botanical Garden,ﬁ Sumeet Ranjan S, May 2017,"Body of water,Reflection,Water,Waterway,Natural landscape,Canal,Pond,Bank,River,Sky"
237,Lund_02492,Building,Floor,Flooring,Gas,,,,,,,ICA Supermarket Lin,K Kristijan Daskalo, May 2017,
238,Lund_02769,Pasture,Grassland,Bovine,Mammal,Grazing,Dairy cow,Natural environment,Meadow,Farm,Livestock,Rinnebidck Gorge,Prashant Bari, May 2017,"Pasture,Grassland,Bovine,Mammal,Grazing,Dairy cow,Natural environment,Meadow,Farm,Livestock"
239,Lund_02575,Water,Water resources,Bank,Reservoir,Natural environment,Waterway,Grass,Grass family,River,Levee,M Martin Ekstrand,M Martin Ekstrand, May 2017,"Water,Water resources,Bank,Reservoir,Natural environment,Waterway,Grass,Grass family,River,Levee"
240,Lund_02308,Tree,Natural landscape,Nature,Grass,Woody plant,Nature reserve,Natural environment,Branch,Spring,Sky,Nobbeldvs mosse,Karl Magnus Adit, May 2016,"Tree,Natural landscape,Nature,Grass,Woody plant,Nature reserve,Natural environment,Branch,Spring,Sky"
241,Lund_00758,Architecture,Landmark,Building,Medieval architecture,Sky,Church,Facade,Cathedral,Steeple,City,[T T o1 T T,@ Vichael Field, May 2012,"Architecture,Landmark,Building,Medieval architecture,Sky,Church,Facade,Cathedral,Steeple,City"
242,Lund_01686,Sky,Garden,Building,Palace,Estate,Architecture,Château,Castle,House,Plant,AF Borgen AB ¢,@?} Hanna Olsson, May 2018,"Sky,Garden,Building,Palace,Estate,Architecture,Château,Castle,House,Plant"
243,Lund_00721,Estate,Building,Property,Mansion,Château,Palace,Castle,Stately home,Architecture,House,[T {,‘ John Eckerdal, May 2016,"Estate,Building,Property,Mansion,Château,Palace,Castle,Stately home,Architecture,House"
244,Lund_00955,Building,Architecture,Palace,Facade,Tree,City,Tourism,House,Plant,Estate,Lundagérd,\'D Ireneusz Sakowi, May 2017,"Building,Architecture,Palace,Facade,Tree,City,Tourism,House,Plant,Estate"
245,Lund_00593,Classical architecture,Building,Architecture,Landmark,Mansion,Palace,Estate,Facade,Official residence,Historic house,Lundagérd,@ Anna Banszelové, May 2017,"Classical architecture,Building,Architecture,Landmark,Mansion,Palace,Estate,Facade,Official residence,Historic house"
246,Lund_01363,Landmark,Architecture,Building,Cathedral,Facade,Medieval architecture,Tourism,Steeple,Tower,City,Lundagérd,Antoinette King, May 2018,"Landmark,Architecture,Building,Cathedral,Facade,Medieval architecture,Tourism,Steeple,Tower,City"
247,Lund_00207,Residential area,Town,Sky,Neighbourhood,House,Street,Property,Home,Building,Urban area,9 Sumeet Ranjan S,9 Sumeet Ranjan S, May 2017,"Residential area,Town,Sky,Neighbourhood,House,Street,Property,Home,Building,Urban area"
248,Lund_02889,Fountain,Water,Landmark,Reflecting pool,Garden,Botany,Water feature,Tree,Architecture,Botanical garden,Mat & Destillat,Anna-Grethe Sore, May 2017,"Fountain,Water,Landmark,Reflecting pool,Garden,Botany,Water feature,Tree,Architecture,Botanical garden"
249,Lund_01596,Spring,Flower,Plant,Garden,Landscape,River,Crocus,Building,Violet family,Shrub,Lundagard ¢,Lars R, May 2017,"Spring,Flower,Plant,Garden,Landscape,River,Crocus,Building,Violet family,Shrub"
250,Lund_01269,Garden,Flower,Estate,Spring,Palace,Plant,Mansion,Building,Château,Botany,Lundagérd,Mohammad A.M, May 2018,"Garden,Flower,Estate,Spring,Palace,Plant,Mansion,Building,Château,Botany"
251,Lund_01407,Building,Architecture,Landmark,Medieval architecture,City,Facade,Gothic architecture,Sky,Cathedral,Church,University Library,2217, May 2017,"Building,Architecture,Landmark,Medieval architecture,City,Facade,Gothic architecture,Sky,Cathedral,Church"
252,Lund_00844,Landmark,Estate,Garden,Architecture,Spring,Botany,Mansion,Tree,Plant,Sky,Lundagérd,@’ Victor Lindellee, May 2018,"Landmark,Estate,Garden,Architecture,Spring,Botany,Mansion,Tree,Plant,Sky"
253,Lund_01094,Landmark,Architecture,Building,Tower,Church,Medieval architecture,Facade,Place of worship,Sky,Classical architecture,Lundagard ¢,V VanYu, May 2018,"Landmark,Architecture,Building,Tower,Church,Medieval architecture,Facade,Place of worship,Sky,Classical architecture"
254,Lund_01706,Town,Building,Neighbourhood,Property,House,Architecture,Transport,Street,Residential area,Human settlement,Café Mondo,‘f‘ James Andrews, May 2017,"Town,Building,Neighbourhood,Property,House,Architecture,Transport,Street,Residential area,Human settlement"
255,Lund_02596,Grassland,Plain,Natural environment,Sky,Prairie,Pasture,Steppe,Ecoregion,Land lot,Meadow,Klosteréingshdjden,@ ) Banne Rumengal, May 2018,"Grassland,Plain,Natural environment,Sky,Prairie,Pasture,Steppe,Ecoregion,Land lot,Meadow"
256,Lund_00806,Landmark,Building,Estate,Mansion,Architecture,Palace,Official residence,Stately home,House,Presidential palace,Lundagérd 8,"@,‘ (=11 E", May 2017,"Landmark,Building,Estate,Mansion,Architecture,Palace,Official residence,Stately home,House,Presidential palace"
257,Lund_00269,Estate,Building,Landmark,Mansion,Palace,Architecture,Official residence,Stately home,Château,House,Lundagérd,N WO Y G, May 2017,"Estate,Building,Landmark,Mansion,Palace,Architecture,Official residence,Stately home,Château,House"
258,Lund_01725,Filling station,Fuel,Gasoline,Building,Vehicle,Petroleum,Car,Gas,Subcompact car,Business,CircleK 9,. Sl L), May 2017,"Filling station,Fuel,Gasoline,Building,Vehicle,Petroleum,Car,Gas,Subcompact car,Business"
259,Lund_01469,Landmark,Garden,Mansion,Palace,Flower,Spring,Architecture,Estate,Building,Stately home,Lundagérd,% Mohammad A.M, May 2018,"Landmark,Garden,Mansion,Palace,Flower,Spring,Architecture,Estate,Building,Stately home"
260,Lund_00913,Water,Water resources,Reflecting pool,Waterway,Architecture,Botany,Tree,River,Sky,Watercourse,Lundagérd,@) Habib ErRachici, May 2018,"Water,Water resources,Reflecting pool,Waterway,Architecture,Botany,Tree,River,Sky,Watercourse"
261,Lund_00069,Tree,Architecture,Grass,Spring,Building,Garden,Botany,Lawn,Plant,House,’«9 Patrick G,’«9 Patrick G, May 2011,"Tree,Architecture,Grass,Spring,Building,Garden,Botany,Lawn,Plant,House"
262,Lund_00539,Building,Estate,Property,Mansion,Architecture,Stately home,House,Palace,Tree,Official residence,Lundagérd ¢,S ) Sookyong Lee, May 2017,"Building,Estate,Property,Mansion,Architecture,Stately home,House,Palace,Tree,Official residence"
263,Lund_01819,Town,City,Public space,Town square,Human settlement,Plaza,Street,Pedestrian,Downtown,Architecture,Lund C 3,NECH]], May 2017,"Town,City,Public space,Town square,Human settlement,Plaza,Street,Pedestrian,Downtown,Architecture"
264,Lund_00906,Landmark,Building,Estate,Architecture,Mansion,Sky,House,Tree,Historic site,City,John Eckerdal,John Eckerdal, May 2016,"Landmark,Building,Estate,Architecture,Mansion,Sky,House,Tree,Historic site,City"
265,Lund_01365,Landmark,Garden,Botanical garden,Botany,Flower,Plant,Spring,Landscaping,Architecture,Landscape,Lundagérd,gert erik Lennart:, May 2017,"Landmark,Garden,Botanical garden,Botany,Flower,Plant,Spring,Landscaping,Architecture,Landscape"
266,Lund_01966,Garden,Spring,Natural landscape,Tree,House,Plant,Botany,Sky,Flower,Home,Botanical Garden,Stefanie Gao, May 2017,"Garden,Spring,Natural landscape,Tree,House,Plant,Botany,Sky,Flower,Home"
267,Lund_02143,Natural landscape,Property,Lawn,Grass,Land lot,Garden,House,Tree,Park,Yard,Botanical Garden,(6 loanna Giannopo, May 2017,"Natural landscape,Property,Lawn,Grass,Land lot,Garden,House,Tree,Park,Yard"
268,Lund_01588,Sky,Architecture,Landmark,Building,Steeple,Spire,Church,Tourism,City,Roof,Café Ariman,Pedro J Martin, May 2018,"Sky,Architecture,Landmark,Building,Steeple,Spire,Church,Tourism,City,Roof"
269,Lund_00114,Tree,Spring,Flower,Plant,Blossom,Woody plant,Grass,Cherry blossom,Branch,Shrub,@ Sumeet Ranjan S,@ Sumeet Ranjan S, May 2017,"Tree,Spring,Flower,Plant,Blossom,Woody plant,Grass,Cherry blossom,Branch,Shrub"
270,Lund_00214,Tree,Spring,Sky,Blossom,Flower,Daytime,Plant,Woody plant,Grass,Branch,[T 8,a Diana Picus, May 2017,"Tree,Spring,Sky,Blossom,Flower,Daytime,Plant,Woody plant,Grass,Branch"
271,Lund_02411,Fountain,Water,Water feature,Public space,Tree,Architecture,Spring,Town square,City,Park,Stadsparken,"@‘, Jonas Blomgqvist", May 2018,"Fountain,Water,Water feature,Public space,Tree,Architecture,Spring,Town square,City,Park"
272,Lund_01845,Town,City,Landmark,Public space,Pedestrian,Tourism,Human settlement,Town square,Street,Urban area,Stortorget H,Ani Vera, May 2017,"Town,City,Landmark,Public space,Pedestrian,Tourism,Human settlement,Town square,Street,Urban area"
273,Lund_01167,Body of water,Natural landscape,Bank,Water resources,Pond,Nature,Water,Watercourse,River,Natural environment,Stadsparken ¢,ﬂ Wiestaw Buda, May 2018,"Body of water,Natural landscape,Bank,Water resources,Pond,Nature,Water,Watercourse,River,Natural environment"
274,Lund_03172,Grassland,Pasture,Lawn,Grass,Land lot,Meadow,Natural landscape,Field,Natural environment,Green,Dévenheten Lund,K Kommunikation |, May 2007,"Grassland,Pasture,Lawn,Grass,Land lot,Meadow,Natural landscape,Field,Natural environment,Green"
275,Lund_00170,Road,Asphalt,Lane,Tree,Green,Road surface,Thoroughfare,Natural landscape,Infrastructure,Grass,@ Sumeet Ranjan S,@ Sumeet Ranjan S, May 2017,"Road,Asphalt,Lane,Tree,Green,Road surface,Thoroughfare,Natural landscape,Infrastructure,Grass"
276,Lund_00210,Town,City,Human settlement,Sky,Urban area,Evening,Neighbourhood,Downtown,Landmark,Morning,9 Sumeet Ranjan S,9 Sumeet Ranjan S, May 2017,"Town,City,Human settlement,Sky,Urban area,Evening,Neighbourhood,Downtown,Landmark,Morning"
277,Lund_02300,Body of water,Water,Water resources,Lake,Sky,River,Reservoir,Bank,Horizon,Shore,Rabysjon och Raby s,sairsad, May 2018,"Body of water,Water,Water resources,Lake,Sky,River,Reservoir,Bank,Horizon,Shore"
278,Lund_00331,Spring,Public space,Estate,Mansion,Campus,Building,Palace,Garden,Botany,Flower,Lundagérd 8,%) David Smith, May 2017,"Spring,Public space,Estate,Mansion,Campus,Building,Palace,Garden,Botany,Flower"
279,Lund_01677,Property,House,Building,Home,Town,Cottage,Architecture,Real estate,Facade,Medieval architecture,Lundagérd 8,lilia sanabria, May 2018,"Property,House,Building,Home,Town,Cottage,Architecture,Real estate,Facade,Medieval architecture"
280,Lund_02199,Natural landscape,Natural environment,Marsh,Wetland,Bank,Fen,Nature reserve,Freshwater marsh,Tidal marsh,Salt marsh,N[ AT T T,Maria Tracz, May 2018,"Natural landscape,Natural environment,Marsh,Wetland,Bank,Fen,Nature reserve,Freshwater marsh,Tidal marsh,Salt marsh"
281,Lund_01093,Medieval architecture,Building,Castle,Historic site,Architecture,Château,Fortification,Palace,Stately home,Facade,"[T, T o1 T T T",(Rt N Y EY CY:TTEY, May 2017,"Medieval architecture,Building,Castle,Historic site,Architecture,Château,Fortification,Palace,Stately home,Facade"
282,Lund_01019,Estate,Property,Building,Mansion,Palace,House,Real estate,Panorama,Photography,Stately home,. Andreas Schaller,. Andreas Schaller, May 2016,"Estate,Property,Building,Mansion,Palace,House,Real estate,Panorama,Photography,Stately home"
283,Lund_01892,Fountain,Water,Water feature,Water resources,Grass,Tree,Landscape,Garden,Landscaping,Lawn,Stadsparken,Q chandan gupta, May 2017,"Fountain,Water,Water feature,Water resources,Grass,Tree,Landscape,Garden,Landscaping,Lawn"
284,Lund_02082,Landmark,Mansion,Estate,Building,Architecture,Palace,Stately home,Official residence,Garden,Botany,Lundagérd,Per Junel, May 2018,"Landmark,Mansion,Estate,Building,Architecture,Palace,Stately home,Official residence,Garden,Botany"
285,Lund_01022,Estate,Building,Landmark,Sky,Property,Architecture,Mansion,Spring,House,Lighting,Lundagérd,wik: Andreas Gillberg, May 2017,"Estate,Building,Landmark,Sky,Property,Architecture,Mansion,Spring,House,Lighting"
286,Lund_02347,Building,Product,Retail,Outlet store,Room,Inventory,Floor,Customer,Shelf,,Biltema,@ Marcelo Aguiar, May 2018,
287,Lund_01344,Building,Classical architecture,Landmark,Architecture,Palace,Official residence,Sky,Facade,Mansion,Estate,Lundagérd,Michael Dobson, May 2016,"Building,Classical architecture,Landmark,Architecture,Palace,Official residence,Sky,Facade,Mansion,Estate"
288,Lund_02014,Property,Building,Tree,Estate,Architecture,Town,College,Campus,Public space,City,University Library,% William Térneber, May 2018,"Property,Building,Tree,Estate,Architecture,Town,College,Campus,Public space,City"
289,Lund_02714,Vegetation,Land lot,Hill,Rural area,Grass,Soil,Pasture,Grassland,Hill station,Plant community,Klosteréngshojden,Q Peter Nordensva, May 2018,"Vegetation,Land lot,Hill,Rural area,Grass,Soil,Pasture,Grassland,Hill station,Plant community"
290,Lund_00715,Medieval architecture,Architecture,Building,Landmark,Classical architecture,Place of worship,Church,Historic site,Gothic architecture,Cathedral,Lund Cathedral,ﬁ Sumeet Ranjan S, May 2017,"Medieval architecture,Architecture,Building,Landmark,Classical architecture,Place of worship,Church,Historic site,Gothic architecture,Cathedral"
291,Lund_02268,Bank,Natural landscape,Waterway,Grass,Watercourse,Water,Tree,Geological phenomenon,Landscape,Slope,Rinnebidck Gorge,a‘ Prashant Bari, May 2017,"Bank,Natural landscape,Waterway,Grass,Watercourse,Water,Tree,Geological phenomenon,Landscape,Slope"
292,Lund_00714,Building,Property,Architecture,Estate,Landmark,Stately home,Mansion,Tree,City,Manor house,University Library,% William Térneber, May 2018,"Building,Property,Architecture,Estate,Landmark,Stately home,Mansion,Tree,City,Manor house"
293,Lund_02184,Water resources,Body of water,Natural landscape,Nature,Water,Watercourse,Nature reserve,Vegetation,Stream,Riparian zone,Rinnebick Gorge 2,Jef Kong, May 2017,"Water resources,Body of water,Natural landscape,Nature,Water,Watercourse,Nature reserve,Vegetation,Stream,Riparian zone"
294,Lund_01035,Landmark,Public space,Plaza,Building,Architecture,Town square,City,Official residence,Plant,Estate,Lundagérd,'v Rafael Schwartz, May 2018,"Landmark,Public space,Plaza,Building,Architecture,Town square,City,Official residence,Plant,Estate"
295,Lund_01143,Building,Palace,Architecture,Public space,City,Château,Plaza,Sky,Tourism,Facade,Lundagérd ¢,G [VINe), May 2017,"Building,Palace,Architecture,Public space,City,Château,Plaza,Sky,Tourism,Facade"
296,Lund_00132,Tree,Yellow,Leaf,Lane,Grass,Road surface,Road,Spring,Woody plant,Walkway,9 Sumeet Ranjan S,9 Sumeet Ranjan S, May 2017,"Tree,Yellow,Leaf,Lane,Grass,Road surface,Road,Spring,Woody plant,Walkway"
297,Lund_02323,Natural landscape,Vegetation,Nature,Nature reserve,Water,Tree,Green,Watercourse,Natural environment,Biome,- T .,llapse side panel 9 N, May 2018,"Natural landscape,Vegetation,Nature,Nature reserve,Water,Tree,Green,Watercourse,Natural environment,Biome"
298,Lund_00155,Town,Property,Landmark,Building,Sky,House,Architecture,Residential area,Home,Tree,9 Sumeet Ranjan S,9 Sumeet Ranjan S, May 2017,"Town,Property,Landmark,Building,Sky,House,Architecture,Residential area,Home,Tree"
299,Lund_01620,Property,Estate,House,Natural landscape,Waterway,Cottage,Building,Manor house,Home,Real estate,Botanical Garden,Florent Santaniel, May 2016,"Property,Estate,House,Natural landscape,Waterway,Cottage,Building,Manor house,Home,Real estate"
300,Lund_00898,Landmark,Building,Architecture,Medieval architecture,Tree,Historic site,Tower,Estate,Stately home,Castle,Lundagérd 8,?}i Joe Harder, May 2017,"Landmark,Building,Architecture,Medieval architecture,Tree,Historic site,Tower,Estate,Stately home,Castle"
301,Lund_00797,City,Town,Human settlement,Town square,Public space,Plaza,Landmark,Architecture,Building,Urban area,‘ﬁ James Andrews,‘ﬁ James Andrews, May 2017,"City,Town,Human settlement,Town square,Public space,Plaza,Landmark,Architecture,Building,Urban area"
302,Lund_00165,Architecture,Landmark,Building,Sky,Tourism,Steeple,Church,City,Place of worship,Spire,@ Lucia Fioravanti,@ Lucia Fioravanti, May 2017,"Architecture,Landmark,Building,Sky,Tourism,Steeple,Church,City,Place of worship,Spire"
303,Lund_01561,Fountain,Water feature,Water,Park,Grass,Garden,Landscape,Memorial,Recreation,Lawn,Stadsparken,D # Douglas William:s, May 2017,"Fountain,Water feature,Water,Park,Grass,Garden,Landscape,Memorial,Recreation,Lawn"
304,Lund_01542,Landmark,Architecture,Sky,Public space,Building,Tree,Iron,Town square,City,Fountain,Lundagérd,) ravio ERachici, May 2018,"Landmark,Architecture,Sky,Public space,Building,Tree,Iron,Town square,City,Fountain"
305,Lund_02047,Estate,Building,Mansion,Landmark,Palace,Stately home,Sky,Architecture,House,Château,Lundagérd ¢,Ralph Meixner, May 2017,"Estate,Building,Mansion,Landmark,Palace,Stately home,Sky,Architecture,House,Château"
306,Lund_02441,Cloud,Sky,Natural landscape,Nature,Grassland,Cumulus,Daytime,Pasture,Natural environment,Green,Nobbel6vs mosse,3\ 1T T, May 2014,"Cloud,Sky,Natural landscape,Nature,Grassland,Cumulus,Daytime,Pasture,Natural environment,Green"
307,Lund_01026,Landmark,Architecture,Sky,Building,Mansion,Estate,House,Palace,Tree,City,Lundagérd,R ' Rodica Adamest, May 2018,"Landmark,Architecture,Sky,Building,Mansion,Estate,House,Palace,Tree,City"
308,Lund_02753,Transport,Mode of transport,Vehicle,Filling station,Fuel,Car,Business,Building,Machine,Gas,CircleK,lander.89@hotm:, May 2017,"Transport,Mode of transport,Vehicle,Filling station,Fuel,Car,Business,Building,Machine,Gas"
309,Lund_02334,Metropolitan area,Architecture,Tower block,City,Building,Urban area,Skyscraper,Daytime,Sky,Human settlement,LRI EL Y T,5‘3.‘..@ LU G, May 2016,"Metropolitan area,Architecture,Tower block,City,Building,Urban area,Skyscraper,Daytime,Sky,Human settlement"
310,Lund_00508,Property,Building,Landmark,Estate,Mansion,House,Stately home,Tree,Architecture,Spring,Lundagérd,AD Andreas Rundcra, May 2017,"Property,Building,Landmark,Estate,Mansion,House,Stately home,Tree,Architecture,Spring"
311,Lund_01349,Natural landscape,Green,Tree,Grass,Garden,Public space,Waterway,Park,Botany,Walkway,Botanical Garden,} Pl, May 2018,"Natural landscape,Green,Tree,Grass,Garden,Public space,Waterway,Park,Botany,Walkway"
312,Lund_01362,Garden,Flower,Estate,Spring,Palace,Plant,Mansion,Building,Château,Botany,Lundagérd,% Mohammad A.M, May 2018,"Garden,Flower,Estate,Spring,Palace,Plant,Mansion,Building,Château,Botany"
313,Lund_02096,Property,Building,Architecture,House,Estate,Stately home,Brick,Historic house,Almshouse,Home,Gamla Biskopshuset,ﬁ Jonathan Lundbe, May 2018,"Property,Building,Architecture,House,Estate,Stately home,Brick,Historic house,Almshouse,Home"
314,Lund_01468,Landmark,Garden,Mansion,Palace,Flower,Spring,Architecture,Estate,Building,Stately home,Lundagérd,% Mohammad A.M, May 2018,"Landmark,Garden,Mansion,Palace,Flower,Spring,Architecture,Estate,Building,Stately home"
315,Lund_02418,Estate,Building,Property,Mansion,Palace,Stately home,Architecture,Château,Sky,House,Lundagérd {,@} BEEOEl ], May 2018,"Estate,Building,Property,Mansion,Palace,Stately home,Architecture,Château,Sky,House"
316,Lund_01208,Building,Estate,Mansion,Palace,Property,Château,Official residence,Stately home,Classical architecture,Manor house,[T T VT,Q chandan gupta, May 2017,"Building,Estate,Mansion,Palace,Property,Château,Official residence,Stately home,Classical architecture,Manor house"
317,Lund_02522,Plain,Land lot,Grassland,Natural environment,Natural landscape,Field,Grass,Pasture,Ecoregion,Prairie,Klosteréingshdjden,S Sara Eriksson, May 2017,"Plain,Land lot,Grassland,Natural environment,Natural landscape,Field,Grass,Pasture,Ecoregion,Prairie"
318,Lund_00347,Building,Landmark,Architecture,Medieval architecture,Place of worship,Sky,Church,Cathedral,Gothic architecture,Classical architecture,[T 8,. DIl, May 2016,"Building,Landmark,Architecture,Medieval architecture,Place of worship,Sky,Church,Cathedral,Gothic architecture,Classical architecture"
319,Lund_02442,House,Building,Property,Home,Residential area,Architecture,Neighbourhood,Mansion,Estate,Real estate,Horselenheten barn,K Kommunikation |, May 2007,"House,Building,Property,Home,Residential area,Architecture,Neighbourhood,Mansion,Estate,Real estate"
320,Lund_00687,Property,Landmark,Estate,Mansion,Garden,Public space,Building,Architecture,Spring,House,Lundagérd,H Hans Blomgren, May 2018,"Property,Landmark,Estate,Mansion,Garden,Public space,Building,Architecture,Spring,House"
321,Lund_02774,Grassland,Nature,Meadow,Grass,Green,Pasture,Natural landscape,Land lot,Natural environment,Lawn,Nobbelbvs mosse,ﬁ Donna, May 2018,"Grassland,Nature,Meadow,Grass,Green,Pasture,Natural landscape,Land lot,Natural environment,Lawn"
322,Lund_00825,Water,Building,Architecture,Estate,Tree,Sky,Palace,Grass,Tourism,House,Lundagérd,) ravio ERachici, May 2018,"Water,Building,Architecture,Estate,Tree,Sky,Palace,Grass,Tourism,House"
323,Lund_01584,Water resources,Water,Waterway,Bank,Watercourse,River,Natural landscape,Wilderness,Stream,Biome,Rinnebidck Gorge,Prashant Bari, May 2017,"Water resources,Water,Waterway,Bank,Watercourse,River,Natural landscape,Wilderness,Stream,Biome"
324,Lund_03188,Building,House,Property,Estate,Architecture,Mansion,Home,Historic house,Palace,Tree,Lundagérd,Linda Newman A, May 2017,"Building,House,Property,Estate,Architecture,Mansion,Home,Historic house,Palace,Tree"
325,Lund_00371,Landmark,Garden,Estate,Spring,Mansion,Botanical garden,Botany,Flower,Architecture,Palace,[T 8,. DIl, May 2016,"Landmark,Garden,Estate,Spring,Mansion,Botanical garden,Botany,Flower,Architecture,Palace"
326,Lund_00817,Building,Property,Mansion,Estate,Stately home,Medieval architecture,Château,Architecture,Manor house,House,Bantorget,;ﬁ Alberto Umerkaje, May 2017,"Building,Property,Mansion,Estate,Stately home,Medieval architecture,Château,Architecture,Manor house,House"
327,Lund_01619,Roof,Town,Urban area,City,Human settlement,Neighbourhood,Building,Architecture,Sky,Residential area,Grand Hotel Lund,@) (=11 E, May 2017,"Roof,Town,Urban area,City,Human settlement,Neighbourhood,Building,Architecture,Sky,Residential area"
328,Lund_00153,Property,House,Home,Residential area,Building,Real estate,Neighbourhood,Architecture,Estate,Roof,. Poma KpaBueHK«,. Poma KpaBueHK«, May 2017,"Property,House,Home,Residential area,Building,Real estate,Neighbourhood,Architecture,Estate,Roof"
329,Lund_02374,Water resources,Vegetation,Watercourse,Nature reserve,Biome,Water,Geological phenomenon,Bank,Stream,River,Rinnebéck Gorge,; Jonas Jinbéck, May 2017,"Water resources,Vegetation,Watercourse,Nature reserve,Biome,Water,Geological phenomenon,Bank,Stream,River"
330,Lund_02279,Body of water,Natural landscape,Water,Lake,Nature reserve,Reservoir,Natural environment,Vegetation,Freshwater marsh,Water resources,|G AT,M Maria Tracz, May 2018,"Body of water,Natural landscape,Water,Lake,Nature reserve,Reservoir,Natural environment,Vegetation,Freshwater marsh,Water resources"
331,Lund_02165,Grass,Green,Lawn,Natural landscape,Tree,House,Estate,Botany,Home,Park,Atmosfiren i maj &r,NG ED G, May 2018,"Grass,Green,Lawn,Natural landscape,Tree,House,Estate,Botany,Home,Park"
332,Lund_01085,Fountain,Water,Garden,Reflecting pool,Estate,Botanical garden,Architecture,Water feature,Botany,Tree,Lundagérd,A Anneliese Wacke, May 2017,"Fountain,Water,Garden,Reflecting pool,Estate,Botanical garden,Architecture,Water feature,Botany,Tree"
333,Lund_02469,Transport,Sky,Iron,Vehicle,Road,Metal,Fence,Cloud,Sport venue,Race track,Klostergérdens IP,‘\ LT, May 2014,"Transport,Sky,Iron,Vehicle,Road,Metal,Fence,Cloud,Sport venue,Race track"
334,Lund_00281,Landmark,Public space,Flower,Sky,Tourism,City,Spring,Architecture,Human settlement,Building,SAMSUNGCSC @,L ED R LT, May 2017,"Landmark,Public space,Flower,Sky,Tourism,City,Spring,Architecture,Human settlement,Building"
