"[Chinese, (Sim.)]",10,,,4,4 days ago ,非常好,,冬天的晚上临时找到这家店，烤猪排和炒米粉...More
[Swedish],230,10.0,1.0,5,"January 17, 2017 ",Amazing food,,"Walked in by mistake, didn't fancy any of the restaurants in town and was very, very happy with the food. Tastes and look lovely"
[Swedish],230,1.0,,5,"January 2, 2019 ",Födelsedagsmiddag med familjen,,Så goda och roliga rätter! Jag och dottern beställde flera förrätter och tillbehör var och min fru valde Ihsiris revben...More
[Swedish],230,10.0,6.0,4,"January 24, 2017 ",Nice but different ,"Oirschot, The Netherlands",This is not a typical Thai restaurant but I liked it very much. The satay starter was perfect with fresh peanut sauce. The cucumber salad was nicely made with fresh coriander The main course were spare ribs with coleslaw and rice. Tastefully but different. Good...More
[Swedish],230,3.0,4.0,5,"January 29, 2016 ",Very nice restaurant!,"Lund, Sweden",We really enjoyed ihsiri! The food was tastefull and with a nice Asian touch. Best waiter ever! He was presenting the food and was taking care of all guest in a very good way!!
[Swedish],230,91.0,18.0,5,"January 29, 2017 ",Nice surprise ,"Lund, Sweden",Ordered the pad Thai expecting .. Well a pad Thai and was pleasantly surprised. Best one I've ever had. Perfectly presented and seasoned. Simply delicious.. Can't wait to return and try out their other dishes.
[Swedish],230,322.0,151.0,4,"July 11, 2016 ","delicious, authentic, overpricedThai food","Haifa, Israel","We ate the zucchini noodles dish, seabass, papaya salad and mango with sticky rice.  I lived in Thailand and am very familiar with the cuisine so can judge that it was mostly authentic.

pros:  
friendly service
mostly authentic ingredients (did not use holy basil in...More"
[Swedish],230,218.0,89.0,4,"July 11, 2016 ",Good food in pleasant restaurant,Sweden,"The food is good and the portions generous.  At this visit at least, the entrees were more interesting than the main dishes. Staff is friendly. If you are a group of 6-10 people you can ask to be seated in the inner room and have...More"
[Swedish],230,5.0,,5,"July 11, 2017 ",Exciting mix between Asian and Swedish food,"Lund, Sweden","Very nice atmosphere. Good and friendly  service and excellent food, that mixes Asian  and European cooking. The lokation in an old house in central Lund, on a quiet street between the Central  station, the University building and the Cathedral, is excellent."
[Swedish],230,40.0,12.0,4,"July 11, 2017 ",Food and Icecream,"Lund, Sweden",Very nice place with a plaseant backyard. Good food and non-alcoholic beverages is very interesting. Ice cream is a must- to- taste.
[Swedish],230,2.0,,4,"July 13, 2017 ",Great lunch with good flavours a reasonable price ,,"We had a great lunch with family. There were four alternatives to choose (fish, pork, chicken and vegetarian). Very friendly service and good cosy atmosphere. If you like Asian food this is a place to visit."
[Swedish],230,20.0,3.0,4,"July 14, 2015 ",Good Asian food!,"Helsinki, Finland",The place was packed at 7 p.m. when we arrived and we had not reserved a table. However we went away and returned 45 minutes later and was able to receive a table then. The service was very friendly and the food was wonderful. We...More
[Swedish],230,91.0,46.0,5,"July 16, 2015 ",Amazing Thai ,"Lundsbrunn, Sweden","Fenomenal place! The food is amazing, everything from the most simple tofuscewers to the most succulent ribs and amazing papaya salad. The service is amazing and the atmosphere great. If anything a bit more chili wouldn't hurt, but other than that there's really nothing that...More"
[Swedish],230,75.0,22.0,5,"July 16, 2016 ",Excellent food - modern thai,"Lund, Sweden","This is a place with image of modern or advanced thai. However if you think about the normal thai food - this is something very different. High class. Went there with family on four. Started with sharing several appetizers (their special spring rolls, chicken, wonton...More"
[Swedish],230,224.0,103.0,4,"July 17, 2015 ",Unpretencious gem of a restaurant,"Copenhagen, Denmark","Just across from the Hotel were we stayed we discovered this wonderful restaurant where great service and coffee refills are part of the deal. (To my partners great pleasure!)
Unfortunately we'd just eaten but the venue and menu looked so delicious and tempted us to...More"
[Swedish],230,5.0,1.0,5,"July 18, 2017 ",Authentic Thai food in sweden,,The food served at Ihsiri was superb. It's authentic Thai food with very nice presentation. The staff were attentive and friendly. It's worth our 1.5 hour drive:-) I highly recommend this place.
[Swedish],230,10.0,10.0,5,"July 23, 2017 ",Delicious Thai food and pleasant surroundings,Sweden,"The food was very, very good and the restaurant clean, classy and cozy! I highly recommend it! The staff was also very nice."
[Swedish],230,24.0,3.0,5,"July 23, 2017 ",Great food !,"Copenhagen, Denmark",Loved the food. Great quality ingredients and excellent præsentation. The restaurant was full and we came without a reservation. We got lucky and there was a last minute cancellation. Great experience. Can highly recommend.
[Swedish],230,65.0,22.0,5,"July 23, 2018 ",Fast! ,,"The first thing that impressed me is that my order didn't take a long time at all and above all, it was a tasty dish indeed."
[Swedish],230,30.0,4.0,5,"July 29, 2017 ",So so so so so good,"Lund, Sweden","My favourite place to eat in Lund! Creative and (pleasantly) surprising food every time! A big plus for the vegan options, too. Also, the mango dessert is the best dessert I've ever had"
[Swedish],230,37.0,7.0,5,"July 29, 2017 ",My favourite in Lund!,"Lund, Sweden","The food here is simply delicious. The service is great, the portions are huge and the desserts are amazing.  It's a bit pricey, but definitely worth it!"
[Swedish],230,6.0,1.0,5,"July 30, 2017 ",Absolutely delicious!! ,"Palo Alto, California","I ordered their zucchini noodles with red curry and enjoyed every bite! It was also beautifully served. The staff were super friendly and really cared about making it a good experience. 
I was visiting the city for a long weekend and they provided tips. Very...More"
[Swedish],230,41.0,10.0,5,"July 31, 2017 ",On a rainy Sunday this restaurant gave us our sunshine.,,"You know, I just love when you walk into a place, tired as .... from just being a toddler dad and you feel right at home. Your greeted with a warm friendly smile and a caring touch.
I sit down and just exist for a...More"
[Swedish],230,5.0,1.0,5,"July 4, 2017 ",Worth a Trip From Copenhagen,"Cambridge, Massachusetts","We (USA tourists from New England) were winding up a lovely day trip from Copenhagen to Lund (45-75 minutes depending on train and direction), and we planned our stay so we could find a restaurant at 6pm and catch our 8:01 train back to Copenhagen....More"
[Swedish],230,39.0,9.0,4,"July 9, 2015 ",Lunch with a special friend,"Lund, Sweden","We did not have a lot of time so we just took Dish of the day, sitting in the backyard. Cosy, sunny, nice staff and good food. Fried pork with a salad and its Thai tastes. Perfect on a hot day!"
[Swedish],230,46.0,10.0,5,"June 10, 2018 ",Fantastic lunch,"Sydney, Australia",Had lunch with the family here last year. They cater for babies with high chairs and change table (stocked with wipes and nappies). Food was very tasty. Dessert was also amazing.
[Swedish],230,19.0,3.0,4,"June 14, 2016 ",Nice lunch near the central station,,"Nice food and very friendly stuff. Location is great, very close to the central station. I've just arrived and was really hungry, I was lucky to find such place. They have only 4 dishes in the lunch menu, but all the food is tasty and...More"
[Swedish],230,72.0,20.0,5,"June 15, 2016 ",Excellent in every way.,"Lund, Sverige","Visited Ishiri for dinner with a group of collegues. Since we were a group of 8, we booked the table a week ahead. We were well treated by the staff who took our orders promptly. The menu is not large but they do everything extremely...More"
[Swedish],230,152.0,135.0,5,"June 17, 2016 ",Best Thai food outside of Thailand,"Geneva, Switzerland","Everything here gets 5 stars ... the staff and host where welcoming, friendly and obviously passionate about the food. The restaurant itself has a cosy, cheerful ambiance and there is a very pretty terrace with nice flower boxes if it's warm enough to sit outide....More"
[Swedish],230,4.0,1.0,4,"June 17, 2018 ",pleasant an tasty,,"Very pleasant staff, nice small inner garden. A small amount of dishes on the menu but interesting. We chose starter svala sommarrullar and they were very good and fresh. Main dish:spicy southern ribs  were really spicy, grillad oxfile med grön curry sås - the sauce...More"
[Swedish],230,3.0,1.0,5,"June 18, 2018 ",Excellent foood!,"Lund, Sweden",I’ve been to this restaurant plenty of times and the food has never let me down!!! My favorite dish is the ribs!!! It’s absolutely fabulous and the staff that works there are very friendly! I’ve been there with friends and family and the kids liked...More
[Swedish],230,1.0,,5,"June 2, 2018 ",Superb modern Thai/Fusion,,What a gem on a warm spring evening! With it being unusually warm in Lund we went looking for somewhere to eat outside - a bit optimistic for a last minute choice on a Friday night and most places were booked. But we were really...More
[Swedish],230,5.0,,4,"June 20, 2018 ",Lunch party,"Lund, Sweden","I was not disappointed with our visit. Delicious food, good servings and cozy for a lunch celebration 🍾 
The waitress was able to recommend from the menu and made sure we had a good time."
[Swedish],230,3.0,,5,"June 23, 2016 ",Sizable portions with rich flavour,,"I thought we would receive tiny portions of food in large plates, but Ihsiri proved me wrong. 
We have received great service, got all our questions answered patiently and sincerely.
If you want to have a taste of Thai food without Swedish influence, try this...More"
[Swedish],230,275.0,56.0,4,"June 25, 2015 ",Food passion in Lund,"Stockholm, Sweden","Ihsiri was so good that I ate both lunch and dinner here the same day! A choosy ambience, attentive service and really nice Asian inspired food.
Recommended!"
[Swedish],230,19.0,4.0,5,"June 4, 2015 ",Delicious!,,"My husband and I decided to try this restaurant and were not disappointed, in spite of walking there on a rainy evening!  The baby-back ribs, rice and slaw were wonderful as well as their Mango-Tango Dessert, one of their specialties."
[Swedish],230,38.0,14.0,5,"June 6, 2016 ",Divine!,Finland,"I had lunch here with a friend, and everything was just lovely! Excellent value for money, definitely recommend. The food was so good we ended up having lunch there the day after, too! Also, the terrace is nice and the service impeccable."
[Swedish],230,28.0,5.0,4,"June 7, 2018 ",Easy going thai-restaurant,"Siilinjarvi, Finland","Was here at dinner. Place is nice, reminds me of a home-style restaurant. Starter soup was awesome. Smooth and creamy. Main course the lobster was a bit dry, But excellent noodles compensated this. Waitress, young Lady with glasses was very helpful and made us a...More"
[Swedish],230,201.0,64.0,5,"June 9, 2016 ",Fantastic Asian fusion,"Leamington Spa, United Kingdom","This restaurant is an excellent and indeed even a necessary choice for any visitor to Lund. Asian fusion, heavily Thai but with some Japanese influence as well, not necessarily what one might expect but it is very very good. This is a very popular spot...More"
[Swedish],230,121.0,33.0,5,"June 9, 2017 ","Good food, warm welcome","Basingstoke, United Kingdom","Arrived without a booking at 1830 on a Wednesday.  Welcomed and sat immediately in the conservatory area.  Good service, and good tasty food (spicy ribs and Pad Thai).  An enjoyable meal, well recommended."
[Swedish],230,282.0,100.0,4,"March 10, 2017 ",So delicious Thai fusion dinner,"Lund, Sweden","This was our third visit at Ihsiri and the food was just as delicious as previously. We were here to celebrate our marriage anniversary and decided to have a bottle of prosecco. We had expected to get a wine cooler for the bottle, but the...More"
[Swedish],230,20.0,5.0,5,"March 13, 2018 ","Lovely restaurant, great food","Leiden, The Netherlands","Restaurant has a lovely style, friendly staff and great food. Perfect for business as well as private dinners. If you are in Lund, you should definitely go there"
[Swedish],230,3.0,1.0,5,"March 15, 2016 ",Nice visit,"Lund, Sweden","The food was very delicious, not to much to choose from which I think it is good. It seems like the put a lot of effort to make the dishes they have very good. The waiter was very nice, he presented the food and did...More"
[Swedish],230,76.0,17.0,4,"March 15, 2016 ",Nice atmosphere. Great food. ,"Athens, Attiki, Greece","It is a very cosy place centrally located. It is an old house and they have kept end some old elements like the fireplaces. 
The menu is not long but it has all the options - fish, meat, veggie. 
Mango tango is a must at...More"
[Swedish],230,7.0,3.0,5,"March 3, 2018 ",One of the best in Lund ,Iraq,"We go there frequently with my friends for lunch and sometimes for dinner, it’s our favorite Asian restaurant in Lund for the following reasons: 
1. Food is great and the flavours are cleverly created , with a very beautiful presentation. 
2. Over the top friendly...More"
[Swedish],230,4.0,,5,"March 3, 2018 ",Thai cusines at its best,"Lund, Sweden",Amazing Thai food in the centre of Lund. Thai food with a twist of high class preparation - not an everyday combination.
[Swedish],230,31.0,21.0,5,"March 30, 2015 ",Oh my!!!,"Lund, Skåne Län, Sweden","This place is so good I'm quite hesitant to give it a review here, because that will mean that more people find this place! 
Went here to have a glass of wine with a colleague and to check out the Place after renovations and change...More"
[Swedish],230,21.0,3.0,4,"March 30, 2017 ",Very nice and cozy.,"Lund, Sweden",This place is well worth a visit when in Lund. The Thai inspired food is delicious and the athmosphere is very much influenced by students. Very good service and not expensive.
[Swedish],230,10.0,2.0,5,"March 5, 2016 ",Excellent food,,"Excellent food in a not-so-fancy restaurant. Ihsiri serves a rather limited menu, but the dishes are delicious. It's not too pricey for what they serve and it's a very good place to go out to for a dinner with friends. The restaurant has a pleasant...More"
[Swedish],230,177.0,47.0,5,"March 6, 2017 ",Loved it,On the move,"We ate in their winter conservatory (udestue) while it rained outside, and it was so cozy. The food was irresistible. Great presentation and flavor. My pad thai with chicken was delicious and my husband's red curry was to die for. 

I loved the fact that...More"
[Swedish],230,8.0,4.0,4,"May 10, 2015 ",Tasty Thai,"Woodbridge, United Kingdom","Lovely Thai food with diverse flavourings presented in a classic Swedish setting. The use of banana leaves, flowers and baskets gave the dishes an aesthetic impact as your taste buds enjoyed a wide range of dipping sauces, marinades and textures. The tofu skewers, salmon and...More"
[Swedish],230,19.0,9.0,4,"May 12, 2018 ",Very good,"Milan, Italy",I have reached Ihsiri with a colleague of mine without booking. The place is nice in one of the narrow streets in the city center. Nice quality of the offered food. Kind staff. Price/quality ratio very very good
[Swedish],230,146.0,88.0,5,"May 13, 2018 ",Excellent thai restaurant in Lund,"Copenhagen, Denmark","Very nice, and different from the usual thai restaurants in scandinavia (also a little pricier). Properly spicy and combined with local ingredients, so not traditional thai either. I had the spicy ribs, look forward to try some of the other dishes on their menu some...More"
[Swedish],230,4.0,,5,"May 15, 2018 ",Awesome Thai food,,"Great little restaurant. We shared several dishes including the papaya salad, rib mix, the green curry dish and one of the vegetarian dishes. Their sauces were very flavorful, with spices true to Thai cuisine. The staff were very friendly. I would love to eat here...More"
[Swedish],230,813.0,190.0,5,"May 16, 2018 ",Great Thai in Lund,"Columbia, Maryland",The cuisine is Thai but the emphasis is also on fresh ingredients exquisitely prepared. The service is pleasant and attentive without being overbearing.
[Swedish],230,4.0,3.0,3,"May 2, 2017 ",Just OK,,We had baby and spicy ribs as main dish. They were okay but nothing special. Consider visiting other places if you are thai cousine fan. No Wifi was available.
[Swedish],230,76.0,28.0,4,"May 22, 2017 ",Delicious food for all of us,"Benijofar, Spain","We got a recommendation from to go here from the reception in our hotel in Lund, and to say the least we where not disappointed, the restaurant was in center of town and it was quite full when we get there, but then they had...More"
[Swedish],230,23.0,13.0,2,"May 24, 2017 ",Second try ... not impressed,"Lund, Sweden",Had read the reviews and heard recommendations... unfortunately they did not meet expectations.  Tried to come in first time without a booking. Second time we did fix the booking but was disappointed. Was surprised that a tortilla wrap was served for lunch on a Thai/Asia...More
[Swedish],230,203.0,45.0,4,"May 24, 2017 ",Very good Thai restaurant that also has a large selection of vegan alterantives,"Malmo, Sweden",This was a surprisingly nice Thai restaurant. I had their Pad Thai with king prawns and it was delicious. They also have a nice selection of beers. The atmosphere is nice and the staff is very friendly and service-minded. I had ice cream for dessert...More
[Swedish],230,209.0,25.0,3,"May 26, 2017 ",Quite good but pricey lunch,"Stockholm, Sweden",The lunch was quite good. I had a garlic burger which had a little Thai touch to it. Environment is nice and really central. It's bit pricey though compared to what you get.
[Swedish],230,147.0,96.0,5,"May 27, 2016 ",Not the usual Thai place,"Frederiksberg, Denmark","In Scandinavia, Thai has become the new Chinese. This also means that many Thai restaurants serve OK, but boring food. Not so here. This is special, and worth every kroner you spend there! Good selection of beers, too."
[Swedish],230,47.0,6.0,5,"May 6, 2018 ",Brilliant food,"Oslo, Norway",This restaurant is surprisingly good. We tried a variety of dishes and found that it was all either very good or excellent. Highly recommend if you like Asian or just enjoy a good meal. Very nice and friendly staff too made this an enjoyable experience.
[Swedish],230,3.0,1.0,5,"May 9, 2015 ",Friday family dinner,"Lund, Sweden",My family and I enjoyed a really good dinner! The best asian food I have eaten since I don't know when! Great service and ambiance! Looking forward to come back again. :)
[Swedish],230,5.0,,5,"May 9, 2016 ",Really good food,"Lund, Skåne Län, Sweden","I was out with my girlfriends and we had a really good time. Nice wine, friendly service and delicious food. We had the summer rolls, always nice, and I had the steamed fish (sea-bass I think), and it was splendidly cooked."
[Swedish],230,25.0,2.0,5,"November 12, 2017 ",Asian food awesome!,"Lund, Sweden","这家店就在法学院边上，吃过两次了。亚洲风味是他们家特色。春卷用料足，酱料很东南亚，趁热吃口感颇好。照烧鸡肉串是日料做法，我也很中意。主菜里面肋排应该是主打，似乎两次吃小伙伴不约而同都点了辣的（主菜第二道）。辣就是微辣偏香辣，肉感非常柔软，用刀子很容易就能把肉片下来，且不嵌牙。配沙拉和米饭，米是亚洲米，吃起来舒服。

总之缺点是价格高，偶尔吃一次至少味道还是很对得起这个价的。饭点生意很好。

I love the spring rolls, chicken and spicy ribs here!  To eat here is a little bit expensive but it worths. Service is nice and you can pay your own part which is really convenient."
[Swedish],230,122.0,41.0,4,"November 13, 2015 ",Asian flavour,"Jodoigne, Belgium","We ended up here since close to the hotel.
Staff speaks english very well. All plates are asian or have asian influence.
I had duck with asian influence and was very tasteful. 
Big beer choice. Limited wines."
[Swedish],230,79.0,51.0,4,"November 13, 2016 ",Thai with an edge.,"Lund, Sweden",I have visit this restaurant on several occasions and have always got very tasty and well prepared dishes. I can highly recommend a visit to Ihsiri if you are looking for a lovely Thai food served in a typical Scandinavian environment.
[Swedish],230,66.0,11.0,4,"November 14, 2015 ",Asian food with a twist,"Stockholm, Sweden",We were four of us that dined this evening and all of us was very satisfied with the food and friendly service. Every plate served was nicely set and tasted superb.
[Swedish],230,13.0,2.0,5,"November 19, 2017 ",Maybe best Thai food ever!,"Kalmar, Sweden","We picked this restaurant randomly, simply running a cross-check with TA to ensure the reviews were decent enough. And gosh, what a nice dinner we had!!! Everything from the springrolls we shared for starters to the service were immaculate. We had a variety of mains,...More"
[Swedish],230,49.0,10.0,5,"November 20, 2017 ",Great Thai food,,"We had lunch at this place. A lunch dish consisting of duck in red curry and tofu in green curry with pineapple. Super friendly staff, nice and really tasty food with a real Thai flavor. Nice lemonades and ciders they have."
[Swedish],230,43.0,10.0,5,"November 21, 2018 ",Gott och hemtrevligt,"Malmo, Sweden",På besök med ett gäng vänner fick vi ett helt eget litet rum vilket passade oss strålande. Personlig och påpasslig...More
[Swedish],230,79.0,36.0,5,"November 29, 2016 ","Beautiful Restaurant, Fantastic Food",London,"Went here on the spur of the moment, and was not disappointed.  Very friendly and welcoming staff, nice surroundings (and warm).  They have a relatively short but very interesting menu, Thai/Swedish fusion. I had a superb salmon dish, wrapped in banana leaf with a fresh...More"
[Swedish],230,130.0,23.0,5,"November 6, 2016 ",Very good food and excellent service,"Copenhagen, Denmark","This restaurant offers delicious Thai food, extremely well presented and prepared with care. The staff was friendly and nice; even if we came a little later (around 8:30 pm), we were received with a smile. 
We enjoyed a great dinner in this lovely place, and...More"
[Swedish],230,42.0,14.0,5,"November 9, 2018 ",Lunds bästa lunch med gästvänligt mottagande,,En sen em efter läkarbesök vid Lunds universitetssjukhus var vi både trötta o hungriga. Vi gick till Ihsiri som vi...More
[Swedish],230,121.0,54.0,5,"October 12, 2015 ",Best and tastiest meal in Lund,"Gokarna, India","This place is a little gem. Beside the atmoshpere of the place, really cosy and intimate, the food is just AMAZING!!! All made with simple ingredients, but so rich in flavour... The Spicy Thai soup and the salmon in banana leaf just made my mouth...More"
[Swedish],230,3.0,,5,"October 17, 2015 ",Amazing,"San Francisco, United States","It's not often that a visit to a restaurant surprises you. Most of the time you, can at least, guess what you will get. Ihsiri is not one of those.
They will serve you something that is much better than what you expected, even if...More"
[Swedish],230,77.0,23.0,5,"October 17, 2015 ",Excellent!,"Hoofddorp, The Netherlands","Great food! As a starter I had chicken sateh. The meat was nicely spiced and succulent, the peanut sauce was great.This was perfect! My wife got springrolls. Fine taste and very fresh herbs. The main course (roasted baby chicken and duck) was very tasty and...More"
[Swedish],230,3.0,,5,"October 17, 2016 ",My favorite restaurant in Lund!,"Malmo, Sweden","Delicious Thai food, perfectly prepared and beautifully presented! Dinner service here is wonderful, and if you're looking for somewhere to go for a business lunch, this is a great place to have a meal that's a cut above a regular lunch."
[Swedish],230,9.0,3.0,4,"October 17, 2017 ",Mid Week Dinner,"Helsingborg, Sweden","Met a friend for a nice Monday-Night Dinner to enjoy and talk. The food was extremely good (both had veg option) and the guys working there were very helpful. 
One point deduction for very noisy environment due to the interior. 
Nevertheless I will come back...More"
[Swedish],230,1.0,,5,"October 18, 2015 ",Best in Lund,,"I have been to Ihsiri a few times now and it has been great every time. My favorites from the menu includes the spring rolls, the entrecôte with cucumber noodles and the fantastic ribs.
Amazing food, friendly staff and relaxed atmosphere makes this my absolute...More"
[Swedish],230,9.0,1.0,5,"October 18, 2016 ",Sophisticated Thai,"Lund, Sweden",I have been here a few times and always had a really good dinner. In my view they are serving a more sophisticated version of the Thai cuisine than anybody in this neck of the woods. No easy wins using chili galore but instead surprisingly...More
[Swedish],230,17.0,7.0,5,"October 18, 2016 ",Surprisingly good!,"Lund, Sweden",Nice attitude of sympathetic staff. Clearly the number of dishes and a moderately large range of beverages. Everyone in my company did experience a small taste of sensation. Not to compare with the Thai-inspired restaurants that we have visit before. Good food at acceptable price....More
[Swedish],230,18.0,3.0,4,"October 18, 2016 ",Excellent  food!,"Lund, Sweden",Had a very tasty vegetarian dish there last Saturday at lunch time. Perfect food and very good service.
[Swedish],230,3.0,,5,"October 2, 2017 ",Dinner,"Lund, Sweden","The finest dining in Lund, to a good price! Every time I go there I get surprised by the beautiful and tasty food. The service and the surrounding is also perfect. I would reccomend this place for any occation."
[Swedish],230,3.0,1.0,5,"October 23, 2015 ",Very nice new restaurant experience in Lund,,"By chance we ended up in Ishiri to celebrate our youngest daughters new job. Great service and really tasty dishes. We all had the ribs. The entrecôte starter was very good. 
Nice sparkling wine as a starter and a chocolate cake for me to finish...More"
[Swedish],230,5.0,5.0,5,"October 26, 2015 ",Great elevated thai food,"Lund, Sweden",Great elevated fresh new thai food with a twist and really nice people working there. You have to try the entrecôte starter!
[Swedish],230,34.0,12.0,5,"October 26, 2015 ",Excellent!,"Lund, Sweden",Nice athmosphere and very friendly and personal staff! The duck was amazing! I will most definitely be back!
[Swedish],230,1.0,,4,"October 27, 2015 ",Asian Fusion - great taste but at a price,"Lund, Sweden","I can only speak for the vegetarian dish, but it was very fresh and tasty, with an appealing plating. The only downside it was the price - a bit spicy, but overall worth it."
[Swedish],230,287.0,100.0,4,"October 27, 2017 ",Good enough,"Chengdu, China","Good lunch and nice service, but i do not know why this place scores so high. The tofu was kind of dull and the mango-rice dessert more interesting than good."
[Swedish],230,6.0,5.0,4,"October 28, 2015 ",Nice and different,"Lund, Sweden",Nice and different food. Nice staff. Worth a visit if you are in Lund. Nice space. You maybe need to book a table to be sure to have a place.
[Swedish],230,284.0,103.0,5,"October 6, 2017 ",Gourmet with Asian flavours,"Lund, Sweden",Big menu for such a little place. We shared two starters and four mains. Each dish was distinct and delicious. The space is divided so that you almost feel like you are in a private room. Friendly and relaxed service. Good beer menu and wine...More
[Swedish],230,25.0,15.0,5,"October 7, 2015 ",Best asian cuisine in Malmö/Lund area,"Malmo, Sweden","I consider myself a rather difficult to please customer when dining out, especially when visiting restaurants in this price range (16-25 € main course) but I keep coming back to Ihsiri time and time again.

The starters (6-12 €) are flavorful and wonderful compositions well...More"
[Swedish],230,26.0,10.0,5,"September 1, 2015 ",The best Thai Food ever,Sweden,"Forget everything you know about those ordinary Thai Food restaurants. This is really something extra. Dishes are not so many, but they are all delicious and served in rich portions, with a loving ""home made"" quality. Service is friendly and the Prosecco is a clear...More"
[Swedish],230,66.0,26.0,5,"September 1, 2016 ",Simply amazing! ,Partille,"This is my second visit and both times have been very, very good! Its easily one of the best restaurants in the entire region! If you're in town and even just slightly enjoy Thai food you need to eat here! Very imaginative, tasty dishes that...More"
[Swedish],230,10.0,,3,"September 13, 2016 ",Ok food,"Lund, Sweden","We had lunch here. Prime location in Lund. The food was ok, but I was not so impressed, maybe because I am actually not a big fan of Thai food. However, the deco inside the restaurant was nice."
[Swedish],230,2.0,,5,"September 14, 2016 ",Incredible Thai food in the heart of Lund,,"I found this place while traveling to Lund for work and it was some of the best Thai food that I have had. It was a lovely night so I was able to sit in the garden. I ordered the summer rolls with prawns, half...More"
[Swedish],230,57.0,8.0,4,"September 15, 2016 ","Nice starters, good wine, great location","Heiloo, The Netherlands","Stopped by during a warm day and had a nice glass of wine on a terrace - nice summer and vegetarian roles, great service"
[Swedish],230,13.0,8.0,5,"September 16, 2016 ",Good food Nice Staff,"Lund, Sweden",If you want to have excelent asian food when visiting Lund ISHIRI is the place. Both owners and staff Will guide you and take excelent care of you.
[Swedish],230,12.0,7.0,4,"September 20, 2016 ",Good food and new take on Thai classic,,"This is a bit pricey by normal thai restaurant standards, but the lunch prices are reasonable. The food is good and can change your mind about the typically thai food offered in Sweden. The seasoning tends to cater still to the Swedish tastebuds of being...More"
[Swedish],230,181.0,24.0,4,"September 22, 2017 ",Great quick dinner,"Lund, Sweden","Had 70 minutes before a show. They delivered great service, great food and a very good price. It was a very nice experience."
[Swedish],230,128.0,31.0,4,"September 23, 2017 ",LOVELY LINCH,"Boston, Massachusetts","A friend brought us here, since she knew the place and she liked it a lot. We were not disappointed at all, the food was good, simple and tasty, and not too expensive. I had the chicken with rice, which I really enjoyed. Definitely a...More"
[Swedish],230,3.0,,5,"September 24, 2017 ",Golden Star for everything,,"Golden Star for food, setting, location, service, all staffs! What a lovely restaurant! Best in Lund!"
[Swedish],230,1.0,,5,"September 26, 2017 ","Small, cosy, very good,",,I loved the rice and the ribs which seemed to melt effortlessly with every bite. The sauce was also amazing. Very nice service... definitely visiting again. You might consider making a reservation in advance.
[Swedish],230,23.0,7.0,5,"September 27, 2015 ",A truly memorable evening!,,"Excellent dinner!  We arrived after a last-minute decision to see if we could get a table - it was a lovely night, and the owner was able to set us up outside.  Great food, excellent drink selection and suberb service from the owner himself -...More"
[Swedish],230,26.0,6.0,5,"September 27, 2015 ",Amazing food,"Milan, Italy","Amazing food and nice atmosphere, friendly staff. We will definitely come back and have those zucchini noodles again, can't get them put of our minds!
Absolutely worth it!"
[Swedish],230,42.0,13.0,4,"September 28, 2015 ",A fun and tasty restaurant!,"Bolingbrook, Illinois","We had a group dinner where all the food was brought out at once.  I suspect this was not the best presentation of the food, but I found it all to be very good.  We were able to try a wide selection of dishes at...More"
[Swedish],230,21.0,3.0,5,"September 28, 2016 ",Amazing!,,"Perfect food, very good service. Highly recomended! I wish I had this level restaurant in my home town.."
[Swedish],230,25.0,16.0,5,"September 29, 2015 ",Will definitely come back!,"Lund, Sweden","Ihsiri is a great place serving modern Asian food. It's a cosy place with friendly staff. 
I had the baby back ribs served with rice and a side of sesame coleslaw, which I can definitely reccommend. There were so many other yummy sounding dishes, so...More"
[Swedish],230,4.0,5.0,5,"September 5, 2015 ",Very pleasant surprise,"Izegem, Belgium","We were searching a restaurant which wasn't overly expensive nor pretentious and when we came across this restaurant during our walk, we were a bit hesitant and decided to search for another restaurant. After some time we decided to go back to Ihsiri. It turned...More"
[Swedish],230,8.0,17.0,4,"September 6, 2017 ",Evening dinner with friends,"Lund, Sweden","Relatively small and well furnished restaurant close to the main station. Thai, or rather  Asian mixed menu of high quality. Good service but prices are a bit higher than average or expected. Nice as a change of food with good taste."
[Swedish],230,710.0,294.0,5,"September 7, 2017 ",Delish!,"Kettering, United Kingdom","Booked a table for three. Great service, lovely and clean and airy restaurant. Chose the chicken on skewers for starters and salmon for main. Delish!!!! Not cheap but nothing is in Sweden."
[Swedish],230,83.0,50.0,5,"September 8, 2016 ",Great Thai food in Lund,"Iver, United Kingdom",I visited this fabulous Thai restaurant on a recommendation. The menu is quite small but the food is exceptional. I believe the Satay to be the best I have ever had and the Pad Thai prawn was equally as good. The restaurant was full so...More
