,a,b,c,d,e,f,cite
3552,2018,361,[BOOK][B] Structures of coastal resilience,"CS Nordenson, G Nordenson, J Chapman - 2018 - books.google.com","Page 1. Catherine Seavitt Nordenson Guy Nordenson • Julia Chapman Structures
of Resilience Coastal Page 2. Page 3. About Island Press Since 1984, the nonprofit
organization Island Press has been stim- ulating, shaping … 
",  Cited by 1 Related articles All 4 versions  ,1
950,2007,146,Brownfields and sustainability: Strengthening the link,M Jacob - 2007 - search.proquest.com,"Page 1. Brownfields and Sustainability: Strengthening the Link A thesis Submitted by Meenakshi
Jacob In partial fulfillment of the requirements for the degree of Master of Arts In Urban and
Environmental Policy and Planning Tufts University May 2007 © 2007 Meenakshi Jacob … 
",  Cited by 1 Related articles  ,1
3111,2017,369,Introduction: A Hollow Crown–Understanding the Olympics in Prospect and Retrospect,"P Cohen, P Watt - London 2012 and the Post-Olympics City, 2017 - Springer","… The chapter looks at a number of contested sites in which different visions of the post-Olympic
city are coming into conflict, whether based on commercial activity and consumerism, or
a more visceral and socially embedded notion of urban vitality … 
",  Cited by 1 Related articles All 3 versions  ,1
3245,2018,367,Fringe Benefits: Adding Rugosity to the Urban Interface in Theory and Practice,"C Brinkley - Journal of Planning Literature, 2018 - journals.sagepub.com","By fusing land-use theory from urban and rural development, this work builds a new theory
based on the urban perimeter as a functional interface important to th...
",  Cited by 1 Related articles All 2 versions  ,1
1146,2009,119,"[PDF][PDF] Determinants of off-street parking demand in downtown eugene, OR D",A Shick - 2009 - economics.uoregon.edu,"… Despite this, their research is still relevant in pointing us in the right direction. Ben Still and
David Simmonds, Parking Restraint Policy and Urban Vilalizjv, 2000 This paper focuses on
parking policy in the UK, and how these policies affect 'urban vitality' … 
",  Cited by 1 Related articles  ,1
394,2000,57,[PDF][PDF] THE OREGON BENCHMARKS CHANGING SYSTEMS BY STEALTH: A SUCCESS STORY IN THE MAKING,"M Lewis, S Lockhart, D de Montreuil - Unpublished manuscript, British …, 2000 - pdx.edu","Page 1. 0 THE OREGON BENCHMARKS CHANGING SYSTEMS BY STEALTH: A SUCCESS
STORY IN THE MAKING Center for Community Enterprise October 2000 Mike Lewis Sandy
Lockhart Dave de Montreuil Page 2. 1 TABLE OF CONTENTS Background 1 … 
",  Cited by 1 Related articles All 2 versions  ,1
1725,2012,234,"[BOOK][B] Culture, Urbanism and Planning",B Graham - 2012 - books.google.com,"Page 1. Jture, Urbarris and Planning Edited by JAVIER MONCLUS and MANUEL
GUARD1A Page 2. Page 3. Page 4. Page 5. CULTURE, URBANISM AND PLANNING
Page 6. Heritage, Culture and Identity Series Editor: Brian … 
",  Cited by 1 Related articles All 2 versions  ,1
984,2008,89,"Downtown living: for families?: the Vancouver, BC urban livability experience and lessons for other cities",SE Loewus - 2008 - dspace.mit.edu,"… growth and development to the city as a whole” (Birch, 2005). Moreover, “downtown housing
provides visible and tangible evidence or urban vitality that has important psychological and
economic impacts” (Birch, 2005). The central location, bustling … 
",  Cited by 1 Related articles All 3 versions  View as HTML ,1
1714,2012,234,[BOOK][B] Re-placing the City Icon: Shaping Philadelphia's Image forthe 21st Century,LM Holzman - 2012 - search.proquest.com,"Page 1. UNIVERSITY OF CALIFORNIA, IRVINE Re-placing the City Icon: Shaping Philadelphia's
Image for the 21st Century DISSERTATION submitted in partial satisfaction of the requirements
for the degree of DOCTOR OF PHILOSOPHY in Visual Studies by Laura M. Holzman … 
",  Cited by 1 Related articles  ,1
3559,2018,361,[BOOK][B] Global South Asia on Screen,J Hutnyk - 2018 - books.google.com,"Page 1. JOHN HUTNYK SDTH |S|| ON SCREEN BLOO M SBUR Y. Page 2. Global
South ASia On SCreen Page 3. Page 4. Global South Asia on Screen John hutnyk
Page 5. BLOOMSBURY ACADEMIC Bloomsbury Publishing … 
",  Cited by 1 Related articles All 2 versions  ,1
2774,2016,329,[PDF][PDF] XI. PRESERVATION IN MIDDLE NEIGHBORHOODS: PROMISING RESULTS IN OHIO,"C Bertron, PR Network, N Hamilton - 2016 - middleneighborhoods.org","… 2 Preservation Green Lab, National Trust for Historic Preservation, Older, Smaller,
Better: Measuring How the Character of Buildings and Blocks Influences Urban Vitality
(Washington, DC: author, 2014), available at http://www … 
",  Related articles All 7 versions  View as HTML ,0
3434,2018,364,Research of analogical methods for spatial design of Beijing exhibition center,J ZHAO - 2018 - politesi.polimi.it,"… the characteristics of landmarks in detail. It is further found that the key to the renewal
of landmark space is to strengthen its urban vitality and excavate its spiritual and
cultural connotation. Finally, this paper puts forward the … 
",  All 2 versions  Cached ,0
3431,2018,364,O2 (Oxigênio): urbanidade e densidade em projeto de conjunto edificado de uso misto em quadra aberta,SMM Fernandes - 2018 - repositorio.ufrn.br,"… at Brazilian scenario a growing process of emptying of the public areas at cities caused, among
other factors, by the lack of an architecture that promotes the connection between public and
private domain spaces (a concept intrinsically related to urban vitality and urbanity) … 
",   Cached ,0
2777,2016,329,[PDF][PDF] STRATEGIC MASTER PLAN FOR THE CITY OF SÃO PAULO: ANALYSIS OF TRANSIT-ORIENTED DEVELOPMENT STRATEGIES,"IB de Moura, GT de Oliveira… - City and Movement - repositorio.ipea.gov.br","… for metropolitan regions. 10. Introduce innovative parking management practices
through government initiatives boosting urban vitality, together with demand
management, air pollution control, climate changes and financing.
",  Related articles  View as HTML ,0
2771,2016,329,[PDF][PDF] Micro-Design Intervention as a Method for Social Acupuncture to Stimulate Environmental Design Consciousness in Bulgaria. SEE J Archit Des. 2016 Jan 10; …,M Metalkova-Markova - 2016 - core.ac.uk,"… life of the users of his buildings [7, 8]. Example of this attitude is the design of the Spiral building
in Tokyo where he designed free of charge and consummation seating places, facing the street
where Tokyoites can enjoy a view over Tokyo cityscape and perceive its urban vitality … 
",  Related articles All 2 versions  View as HTML ,0
2769,2016,329,An 'Ice Age settling on the Roman Empire': Post-Roman Butrint between Strategy and Serendipity,"A Augenti - Vrbes Extinctae, 2016 - taylorfrancis.com","… is suggests that the presence of major Christian buildings alone cannot be used as an indicator
of wider urban vitality, just as post-built structures and secondary occupation of monumental
buildings should not be seen as indicative of general urban decline. Page 13 … 
",  Related articles  View as HTML ,0
2812,2016,329,Buildings Reborn: Keeping Historic Properties in Active Use,"S Meeks, KC Murphy - The Past and Future City, 2016 - Springer","… Because they give us a sense of history and connect us to earlier generations of city life, people
like them and like being around them. 1. When making the case for older buildings as a key to
urban vitality, Jane Jacobs pointed to this endless capacity for reinvention … 
",   ,0
3385,2018,363,"[PDF][PDF] Open Data Flows, Spatial Histories, and Visualizing the Future of Preservation",J MINNER - researchgate.net,"… In a report titled Older, Smaller, Better: Measuring How the Character of Buildings and Blocks
Influences Urban Vitality, the Preservation Green Lab brought together local government, federal,
and proprietary geospa- tial data to probe relationships between older building stock … 
",  Related articles All 2 versions  View as HTML ,0
2823,2016,329,The Schoolhouse Problem: New Solutions for Preserving Historic and Obsolete Buildings in Rural New Hampshire,A Cushing - 2016 - repository.upenn.edu,"… 23 “Older, Smaller, Better: Measuring How the Character of Buildings and Blocks Influences Urban
Vitality,” National Trust for Historic Preservation, May 2014, http://www.preservationnation.org/
information-center/sustainable-communities/green- lab/oldersmallerbetter … 
",  Related articles  View as HTML ,0
2810,2016,329,Blue Zones: Rethinking the American Landscape,B Riddell - 2016 - smartech.gatech.edu,"Page 1. Blue Zones: Rethinking the American Landscape Briana Riddell School of City and
Regional Planning College of Architecture Georgia Institute of Technology Spring 2016
Advisor: Michael Dobbins Page 2. 2 Blue Zones Table of Contents … 
",  Related articles All 4 versions  View as HTML ,0
2807,2016,329,"[PDF][PDF] MAKING A HIGH DENSITY, MIXED-USE NEIGHBORHOOD ENERGY NEUTRAL",DS JANSE - repository.tudelft.nl,"Page 1. 1 Making A High Density, Mixed-Use Neighborhood Energy Neutral - DSJanse MAKING
A HIGH DENSITY, MIXED-USE NEIGHBORHOOD ENERGY NEUTRAL With new urban building
blocks and using renewable resources, in Western Europe DYLAN S. JANSE … 
",  Related articles  View as HTML ,0
2806,2016,329,[BOOK][B] Hybrid to social condenser: Competing approaches to mixed-use development,M Zagow - 2016 - search.proquest.com,"… Page 18. 4 increased urban vitality, a greater variety of housing opportunities, and more efficient
land use that can improve land preservation (Engelen 2005) (Garde 2004). Researchers
support that mixed use provides more affordable housing, reduces … 
",  Related articles All 4 versions  Library Search ,0
2805,2016,329,Certifying Preservation: How Preservation Can Introduce Social Sustainability to Building Certification Programs,AK Haley - 2016 - repository.upenn.edu,"… Washington, DC, the study still empirically demonstrates the truth of Jacobs' theories
that older buildings contribute to urban vitality. A less quantitative analysis of the
contributions of existing buildings is listed by Tom Mayes … 
",  Related articles  View as HTML ,0
2821,2016,329,City and its spontaneity in the cases of Beijing,LU LU - 2016 - politesi.polimi.it,"Page 1. City and Its Spontaneity In the cases of Beijing Politecnoco di Milano School of
Architecture and Society Urban Planning and Policy Design Advisor: Alessandro Balducci Auther:
Lu Lu 833442 Academic year: 2015/2016 Page 2. Page 3. Page 4. Page 5. Content Abstract … 
",  Related articles  View as HTML ,0
3428,2018,364,City Branding and the Tourist Gaze: City Branding for Tourism Development,"S Jojic - European Journal of Social Science Education and …, 2018 - content.sciendo.com","… a whole. Branding strategies for cities City image can be projected into the
international market place very fast, where the chances of attracting tourist,
companies, will certainly improve the urban vitality of the city. Importance … 
",  Related articles All 4 versions  View as HTML ,0
2843,2016,328,Operating and Capital Funding Proposal,"MB Deiters, R Lewis - 2016 - scholarsbank.uoregon.edu","… 2015. https://www.oregonlegislature.gov/bills_laws/Pages/ORS.aspx Steel in the Air. 2015.
http://www.steelintheair.com/?gclid=CjwKEAiAn7HEBRDHwNqitoWqsQcSJAADWmI2zcA_1Y
ur-FWMCRTgT2tqE5ZPBXVrIBSZXC98TiVt5BoC13bw_wcB Urban Vitality Group. 2010 … 
",   View as HTML ,0
2841,2016,328,[PDF][PDF] HAASTIGE SPOED IS ZELDEN GOED,B Buurman - pure.hva.nl,"Page 1. Amsterdam University of Applied Sciences Haastige spoed is zelden goed Buurman,
BM Link to publication Citation for published version (APA): Buurman, BM (2016). Haastige spoed
is zelden goed: het belang van samenwerken bij acute zorgvragen van ouderen … 
",  Related articles All 5 versions  View as HTML ,0
2840,2016,328,Patrimonio cultural y políticas urbanas. El significado de la experiencia comparada: los casos de Montevideo y Burgos,F Manero Miguel - 2016 - uvadoc.uva.es,"Page 1. 191 Capítulo 6 Patrimonio cultural y políticas urbanas. El significado de la
experiencia comparada: los casos de Montevideo y burgos Fernando Manero Miguel
Universidad de Valladolid I. InTroduCCIón En el conjunto … 
",  Related articles All 2 versions  View as HTML ,0
2839,2016,329,[BOOK][B] 歐洲聯盟文化政策之脈絡與實踐,劉以德 - 2016 - books.google.com,"Page 1. 臺灣歐洲聯盟研究叢書11 狩盟殘 作- J M\ 歐洲聯盟文化政策之° 脈絡與實踐
臺灣歐洲聯盟中心策劃·叢書主編蘇宏達·專書主編劉以德 Cultural Policies of European
Union: COnteXtand PraCtiCe Edited by Yi-De Liu Page 2. Page 3 … 
",  Related articles  ,0
2838,2016,329,[BOOK][B] Crip modernisms: The roots of disability consciousness in American literature and culture,J Waggoner - 2016 - search.proquest.com,"Page 1. CRIP MODERNISMS: THE ROOTS OF DISABILITY CONSCIOUSNESS
IN AMERICAN LITERATURE AND CULTURE Jessica Waggoner Submitted to the
faculty of the University Graduate School in partial fulfillment … 
",  Related articles  Library Search ,0
3378,2018,363,Disentangling the compact city drivers and pressures: Barcelona as a case study,"M Adelfio, JH Kain, L Thuvander… - … -Norwegian Journal of …, 2018 - Taylor & Francis","Page 1. Disentangling the compact city drivers and pressures: Barcelona as a case
study Marco Adelfio , Jaan-Henrik Kain , Liane Thuvander & Jenny Stenberg Department
of Architecture and Civil Engineering, Chalmers University … 
",  Related articles All 4 versions  ,0
3382,2018,363,A Multisource Remotely Sensed Data Oriented Method for “Ghost City” Phenomenon Identification,"X Ma, X Tong, S Liu, C Li, Z Ma - IEEE Journal of Selected …, 2018 - ieeexplore.ieee.org","… some regions. Jin et al. [29] argued that ghost cities are associated with very low
urban vitality and found that the average vitality of residential projects in new urban
areas was only 8.8% of that in old urban areas. This find- ing … 
",  Related articles All 2 versions  ,0
3392,2018,363,Confronting Exclusion: Redefining the Intended Outcomes of Historic Preservation,"E Avrami, CN Leo, AS Sanchez - Change Over Time, 2018 - muse.jhu.edu","… 27. National Trust for Historic Preservation and Preservation Green Lab, Older, Smaller, Better:
Measuring how the character of buildings and blocks influences urban vitality (May 2014),
http://dillonm.io/articles/NTHP_PGL_OlderSmallerBetter_ReportOnly.pdf. 28 … 
",  Related articles All 2 versions  ,0
2799,2016,329,"Clay, Water, Fuel: An Overview of Pottery Production in and Around Early Roman London","L Rayner - Agriculture and Industry in South-Eastern Roman …, 2016 - books.google.com","Page 368. Chapter 16 Clay, Water, Fuel: An Overview of Pottery Production in and
Around Early Roman London Louise Rayner Introduction This chapter considers
the supply of pottery to early Roman London and examines … 
",  Related articles  ,0
3424,2018,364,Social Network and Place: The Inheritance and Development of Beijing Crosstalk Performing Art,"J Zhao, S Zhou - Sustainability, 2018 - mdpi.com","In order to protect the traditional performing arts, we need to analyze the factors that sustain its
inheritance and development. Some of the factors are embedded in the place. This paper takes
Beijing Crosstalk as an example to explore its relationship with the place Beijing. The authors … 
",  Related articles All 9 versions  Cached ,0
2781,2016,329,This Will Not Be Available On Canvas Later: Graffiti Invades the Art World,A Burbeck - 2016 - repository.tcu.edu,"… by representing groups at the fringes of society.24 Others viewed the movement as a celebration
of polyculturalism and urban vitality.25 They believed artists were integrating with rather than
exploiting those on the fringes. The movement served as a counter to the … 
",  Related articles  View as HTML ,0
3426,2018,364,[PDF][PDF] DISPUTE RESOLUTION OF STRATIFIED RESIDENTIAL PROPERTIES: THE STRATA MANAGEMENT TRIBUNAL OF MALAYSIA,"H Hamzah, SA Abdullah - researchgate.net","… 2012). At a social level, Leshinsky and Mouat (2012) submitted that ADR for strata
conflict resolution is a necessary component for social learning and urban vitality
and should be applied as early as possible for any dispute. The … 
",  Related articles All 2 versions  View as HTML ,0
3411,2018,363,DESIGN/CONSTRUCTION AND REAL ESTATE STAKEHOLDER GROUP.,"P Civiero - TECHNE: Journal of Technology for Architecture …, 2018 - search.ebscohost.com","… In a di- verse social and economic mix, Universities can play a decisive role, providing not only
specific research and solutions, but also urban vitality, without which Smart City has only a softer
grip. Architects Council of Europe is promoting several topics that … 
",   ,0
3410,2018,363,Managing Herculaneum in Context: Measuring Benefits for People and Places,"J Thompson - … of Archaeological Heritage Sites Open to Tourism, 2018 - books.google.com","… These days most urban vitality comes from a bustling clothes market (born at the end of the
Second World War) that is held along the main route through the mediaeval town centre
leading from a church which illustrates rich intangible local traditions … 
",  Related articles  ,0
3396,2018,363,XXI. Century's challenges for the regeneration of port cities–and for the regeneration of the Havana Bay and waterfront,"G Warsewa - Urban Research & Practice, 2018 - Taylor & Francis","… Artists and young people are often pioneers to reanimate brownfield spaces and enfold new
urban vitality. For this reason, one of the first things in the waterfront strategy in the City of Bremen
was to move the University of the Arts into a renovated warehouse at the waterfront … 
",  All 4 versions  ,0
3399,2018,363,[HTML][HTML] Understanding walkable areas: applicability and analysis of a walkability index in a Brazilian city,"MCN Motomura, LC Fontoura, M Kanashiro - Ambiente Construído, 2018 - SciELO Brasil","… institutions). Only the street level (ground floor) was considered as this level is
associated with walking (SUNG et al., 2015) and urban vitality (JACOBS, 2011).
Google Street View was adopted to determine all the land uses … 
",  Related articles All 3 versions  Cached ,0
3401,2018,363,Enterprise: Indian Elites and the Making of British Bombay—shows how the city was forged as a dynamic and shared endeavor. Chopra rejects a historical model that …,"I Metropolis, I Designs, I Realities - JSTOR","… See, for example, Patankar et al. 2010. 13. Ibid. Although set in a very different regional and
political context, Zeiderman 2016 offers an instructive study on the sociopolitical intersection
of risk, security, and urban vitality. 14. See, for example, Fuchs 2010. 15 … 
",   ,0
3403,2018,363,[PDF][PDF] CHANGING DEMOGRAPHICS AND HOUSING TYPOLOGIES: ADDRESSING SOCIAL AND AFFORDABLE HOUSING IN AUSTRALIA,MEZ de Baro - sbenrc.com.au,"… It adds to urban vitality by incorporating mixed-use elements that fuel urban interaction considering
social issues of inclusion and community, for example every Baugruppen project in Berlin has
a shared garden, which is often open to the public (Ring 2016ww) … 
",  Related articles  View as HTML ,0
3405,2018,363,[PDF][PDF] DESIGN/CONSTRUCTION AND REAL ESTATE STAKEHOLDER GROUP,R TABLE - fupress.net,"… In a di- verse social and economic mix, Universities can play a decisive role, providing not only
specific research and solutions, but also urban vitality, without which Smart City has only a softer
grip. Architects Council of Europe is promoting several topics that … 
",  Related articles All 3 versions  View as HTML ,0
3408,2018,363,Original Swingers: Hollywood's Postwar Bachelor-Pad Cycle,"R Worland - Journal of Popular Film and Television, 2018 - Taylor & Francis","… Though Charlie maintains he wants to marry, the pad's urban vitality seems more inviting than
the glumly described family home Joe has left behind, where the major inter- action between
the couple is discussing the cost of the children's braces … to marry, the pad's urban vitality … 
",  Related articles All 2 versions  ,0
3409,2018,363,"Imported modernity and local design: the creation of resilient public spaces in late Ottoman Palestine, 1878–1918","T Abramovich, M Epstein-Pliouchtch… - Planning …, 2018 - Taylor & Francis","Skip to Main Content … 
",  Related articles  ,0
2766,2016,329,From Burning Books to the War on Terror,"J Hutnyk - South Asian Racialization and Belonging after 9/11 …, 2016 - books.google.com","… street rebels have overturned and burnt his car. Sammy's pompously knowing
discourse on urban vitality is doused in personal commodity dispossession, mediated
by sexual ex- pletive. We will see more of this scene, which … 
",  Related articles  ,0
3538,2018,361,[PDF][PDF] Supporting Older Adults to Exercise With a Tablet: A Usability Study,"S Mehra, B Visser, N Cila, J van den Helder… - JMIR Research …, 2018 - pure.hva.nl","Page 1. Amsterdam University of Applied Sciences Supporting older adults to exercise with a
tablet Mehra, S.; Visser, B.; Cila, N.; van den Helder, JEM; Engelbert, RHH; Weijs, PJM; Kröse,
BJA Published in: JMIR Research Protocols DOI: 10.2196/preprints.11598 … 
",  Related articles All 2 versions  View as HTML ,0
3540,2018,361,Essays on Associations of Built Environment with Use of Restaurants and Food Stores and Food Purchase in the United States,K Peng - 2018 - search.proquest.com,"Page 1. 1 ESSAYS ON ASSOCIATIONS OF BUILT ENVIRONMENT WITH USE OF
RESTAURANTS AND FOOD STORES AND FOOD PURCHASE IN THE UNITED
STATES Ke Peng A dissertation submitted to the faculty at the … 
",  Related articles  ,0
3543,2018,361,"[BOOK][B] Cultural Identity in British Musical Theatre, 1890-1939",B Macpherson - 2018 - Springer,"Page 1. PALGRAVE STUDIES IN BRITISH MUSICAL THEATRE KNOWING ONE'S
PLACE CULTURAL IDENTITY IN BRITISH MUSICAL THEATRE, 1890–1939 BEN
MACPHERSON Page 2. Palgrave Studies in British Musical Theatre … 
",  Related articles All 5 versions  ,0
3546,2018,361,"[BOOK][B] Public Space and an Interdisciplinary Approach to Design: L'architettura delle città the Journal of the Scientific Society Ludovico Quaroni, n. 10 2017",E Vadini - 2018 - books.google.com,"Page 1. L'ARCHITETTURA DELLE CITTÀ The Journal of the Scientific Society Ludovico
Quaroni n. 10/ 2017: Public Space and an Interdisciplinary Approach to Design Page
2. L'ARCHITETTURA DELLE CITTÀ Q Società Scientifica … 
",  Related articles  ,0
3551,2018,361,[BOOK][B] Entre civitas y madina: El mundo de las ciudades en la península ibérica y en el norte de África (siglos IV-IX),"S Panzram, L Callegarin - 2018 - books.google.com","Page 1. ENTRE CIVITAS Y MADINA EL MUNDO DE LAS CIUDADES EN LA PEN ÍNSULA IB
ÉRICA Y EN EL NORTE DE Á FRICA (SIGLOS IV-IX) ED TADO POR SA BNE PANZRAM Y LA
URENT CALLE GARN W, CASA DE VELÁzQVEZ Page 2. Page 3. Page 4 … 
",  Related articles All 2 versions  ,0
3553,2018,361,Overlapping Historic Preservation and Affordable Housing: Successful Outcomes in New York City and San Francisco,S Olson - 2018 - academiccommons.columbia.edu,"… Reports like “Older, Smaller, Better Measuring: How the Character of Buildings and
Blocks Influences Urban Vitality” and “The Atlas of ReUrbanism” indicate a trend
in research and a new type of framework being established … 
",  Related articles  View as HTML ,0
3554,2018,361,"[BOOK][B] Eminent Domain and Economic Growth: Perspectives on Benefits, Harms and New Trends","JJ Gonzalez III, RL Kemp, J Rosenthal - 2018 - books.google.com","… Sports Stadiums: A Planning Handbook, edited by Roger L. Kemp (2009); Cities and Water: A
Handbook for Planning, edited by Roger L. Kemp (2009); Cities and Growth: A Policy Handbook,
edited by Roger L. Kemp (2008); Museums, Libraries and Urban Vitality: A Handbook … 
",  Related articles All 4 versions  ,0
3556,2018,361,Ephemeral Geographies Of DIY Making Space In Toronto's Creative City,L March - 2018 - yorkspace.library.yorku.ca,"… economy and cultural capital (Markusen, 2005, 2006). Some have attempted to link “creativity
indicators” to urban “vitality” (Bianchi- ni and Landry, 1994). A very simplified version of these
ideas has been widely picked up in the media, and the relationship of artists … 
",  Related articles  View as HTML ,0
3531,2018,361,[PDF][PDF] CITY OF TITUSVILLE HISTORIC PRESERVATION PLAN,M Powell - titusville.com,"Page 1. CITY OF TITUSVILLE HISTORIC PRESERVATION PLAN BY Meghan Powell, Historian
with contributions from Adrienne Burke, Esq., MSAS FOR City of Titusville 555 S. Washington
Ave Titusville, Florida 32796 AJ17288.00 ENVIRONMENTAL SERVICES, INC … 
",  Related articles All 2 versions  View as HTML ,0
3516,2018,361,[PDF][PDF] Between the Wall and the Mall: Geographies of Encounter between Israelis and Palestinians in Jerusalem,M Shtern - 2018 - researchgate.net,"… prejudice, and reducing the likelihood of positive encounters. It also undermines urban vitality
and economic sustainability by maintaining dual urban community facilities and constraining
the local labor market (Boal, 1999). Boal suggests that once in place, 12 Page 18 … 
",  Related articles All 2 versions  View as HTML ,0
3518,2018,361,"[BOOK][B] Global Problems, Global Solutions: Prospects for a Better World",JA Chirico - 2018 - books.google.com,"Page 1. Page 2. Global Problems, Global Solutions Page 3. In remembrance of my
mother and father, Mary and Joseph Chirico, who taught me that we all are brothers
and sisters, and with love to my children and grandchildren … 
",  All 2 versions  ,0
3519,2018,361,[PDF][PDF] FILLING IN THE GAPS: STUDYING ANACHRONISM IN DIODORUS SICULUS'NARRATIVE OF THE FIRST SICILIAN 'SLAVE WAR',P Morton - research.ncl.ac.uk,"Page 1. Histos Supplement ( ) – FILLING IN THE GAPS: STUDYING ANACHRONISM
IN DIODORUS SICULUS' NARRATIVE OF THE FIRST SICILIAN 'SLAVE WAR'* Peter
Morton Abstract: Diodorus Siculus' narrative of the First … 
",  Related articles  View as HTML ,0
3523,2018,361,Rural and Remote Municipalities as Practitioners and Intermediaries in Social Enterprise Development: A Case for Place-Based Policy,M Ferguson - 2018 - atrium.lib.uoguelph.ca,"Page 1. i Rural and Remote Municipalities as Practitioners and Intermediaries in Social
Enterprise Development: A Case for Place-Based Policy by Mary Ferguson A Thesis
presented to The University of Guelph in partial fulfilment … 
",  Related articles All 3 versions  View as HTML ,0
3524,2018,361,"[BOOK][B] Learning from Informal Settlements in Iran: Models, Policies, Processes, and Outcomes",M Arefi - 2018 - Springer,"Page 1. MAHYAR AREFI Learning from Informal Settlements in Iran Models, Policies, Processes,
and Outcomes Page 2. Learning from Informal Settlements in Iran Page 3. Mahyar Arefi Learning
from Informal Settlements in Iran Models, Policies, Processes, and Outcomes … 
",  Related articles All 3 versions  ,0
3526,2018,361,"[PDF][PDF] UMA ANÁLISE INICIAL DOS DESAFIOS DE MOBILIDADE URBANA EM PETRÓPOLIS, RJ, NA PERSPECTIVA DA FORMA URBANA E CENTRALIDADE",AMM SERPA - researchgate.net,"… conceptualization about mobility, travel behaviour and urban form and initial analysis between
the central area and four locations of the 1st district; the third part brings general considerations
about sustainable mobility, bringing general reflections on urban vitality, pollution in … 
",  Related articles  View as HTML ,0
3529,2018,361,[PDF][PDF] P1. 54 PROCURING SOCIAL AND AFFORDABLE HOUSING CHANGING DEMOGRAPHICS AND TYPOLOGIES,"J Kraatz, MEZ de Baro, P Newman - 2018 - sbenrc.com.au","Page 1. P1.54 PROCURING SOCIAL AND AFFORDABLE HOUSING CHANGING
DEMOGRAPHICS AND TYPOLOGIES Research Report Judy Kraatz Maria Elena Zingoni de
Baro Peter Newman December 2018 Page 2. SBEnrc P1.54 Changing Demographics and … 
",  Related articles  View as HTML ,0
3558,2018,361,Population Change in Times of War: Biodistance Analysis of Medieval and Early Modern Skeletal Populations from Adriatic Croatia,LJH Thorson - 2018 - dc.uwm.edu,"Page 1. University of Wisconsin Milwaukee UWM Digital Commons Theses and
Dissertations May 2018 Population Change in Times of War: Biodistance Analysis of
Medieval and Early Modern Skeletal Populations from Adriatic Croatia … 
",  Related articles All 2 versions  View as HTML ,0
2697,2016,330,"Using Micro-Level Data to Evaluate Infrastructure of the Walking Environment Around Bus Rapid Transit Stations: A Case Study of Xiamen, China.","X Junping, W Peng, K Joh, B Bo - China City Planning …, 2016 - search.ebscohost.com","… 1 Line Page 3. 20 China City Planning Review Vol. 25, No. 2, 2016 Debates & Ideas 3.
Literature context Walking is supposed to be significantly associated with public health,
sustainability, and urban vitality (Brownson et al., 2000; Chen et al., 2005) … 
",  Related articles All 2 versions  ,0
3560,2018,361,O conceito de urbanidade como ferramenta de análise da inserção urbana de sistemas BTR,LCF Sousa - 2018 - repositorio.bc.ufg.br,"… Understanding that urbanity is a way to become your own unit, such as accessibility, security
in access spaces, readability, vitality, among other aspects. Key words: urbanity, urban
hospitality, urban vitality, BRT systems, public space Page 11 … 
",   View as HTML ,0
2668,2016,330,Research on the Differences of Evaluative Bases About Air Pollutants Emission From Cement Industry in Yunnan Province,"KD WANG, Y DU - … And Control Systems-Proceedings Of 2015 …, 2016 - books.google.com","… com ABSTRACT: The urbanization process and expansion have brought about the traffic growth
and promoted the continuous development of urban traffic, making traffic become the principal
component of urban function as the key factor maintaining the urban vitality … 
",   ,0
2663,2016,330,"Audi, Siemens, Ikea, Haus der Kunst, Igreja Universal: Five Urban Strategies","A Gutzmer - Urban Innovation Networks, 2016 - Springer","As the next major step in this book, I want to bring the conceptual background developed before
in direct touch with the reality of the urban sphere. This does not mean that the framework I offered...
",  Related articles  ,0
3569,2018,361,Beleving en diversiteit: de sleutel tot succes? Een onderzoek naar de invloed van beleving en diversiteit op hetfunctioneren van winkelgebieden in Oost-Nederland en …,M Lucassen - 2018 - theses.ubn.ru.nl,"Page 1. Beleving en diversiteit: de sleutel tot succes? Een onderzoek naar de invloed van
beleving en diversiteit op het functioneren van winkelgebieden in Oost-Nederland en de
Randstad. Maartje Lucassen Masterthesis Spatial Planning (Planologie) … 
",  Related articles All 3 versions  View as HTML ,0
3571,2018,361,"[BOOK][B] San Francisco: Instant City, Promised Land",M Johns - 2018 - books.google.com,"Page 1. ºſºMichael Johns （） Page 2. SAN FRANCISCO Page 3. CITYSCOPES: a unique overview
of a city's past as well as a focused eye on its present. Written by authors with intimate knowledge
of the cities, each book provides a historical account with essays on the city today … 
",   ,0
3572,2018,361,[BOOK][B] Up the Trail: How Texas Cowboys Herded Longhorns and Became an American Icon,T Lehman - 2018 - books.google.com,"Page 1. HOW TEXAS COWBOYS H. ERI) EI) Lº N ºr HJRN 5 AND BECAME AN
AMERICAN IC0N Page 2. UP THE TRAIL Page 3. T HOW HINGS WORKED Robin
Einhorn and Richard R. John, Series Editors ALSO IN THE SERIES … 
",  Related articles  ,0
3573,2018,361,Da cidade genérica ao junkspace: o pensamento de Rem Koolhaas sobre a cidade contemporânea,VBM Galindo - 2018 - repositorio.ufrn.br,"Page 1. UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE PROGRAMA DE
PÓS GRADUAÇÃO EM ARQUITETURA E URBANISMO VINICIUS BEZERRA DE
MORAES GALINDO DA CIDADE GENÉRICA AO JUNKSPACE … 
",  Related articles  View as HTML ,0
