,a,b,c,d,e,f,cite
2708,2016,330,南京老城滨河活力区段的分布及其成因,"刘华， 韩冬青 - 新建筑, 2016 - airitilibrary.com","Airiti Library華藝線上圖書館.
",  Cited by 1 Related articles All 3 versions  ,1
2050,2014,243,Comprehensive evaluation on the municipal infrastructure development from the regional integration perspective: an empirical analysis based on the nine cities of the …,"Y LU, F ZHENG - Urban Problems, 2014 - en.cnki.com.cn","… 1.Department of Urban and Region Planning,Nanjing University,Nanjing 210093;2.College of
Hydrology and Water Resources,Hohai University,Nanjing 210093;3.Zhejiang Reclaim
Construction Group CU.LTD.,Ningbo 315040,China);Evaluation of Urban Vitality Based on … 
",  Cited by 1 Related articles  Cached ,1
2578,2016,330,Implications for urban missiology in the United States from the life and work of Jane Jacobs,AB Coe - 2016 - search.proquest.com,"Page 1. SOUTHEASTERN BAPTIST THEOLOGICAL SEMINARY WAKE FOREST,
NORTH CAROLINA IMPLICATIONS FOR URBAN MISSIOLOGY IN THE UNITED
STATES FROM THE LIFE AND WORK OF JANE JACOBS A … 
",  Cited by 1 Related articles  ,1
2709,2016,330,公共空间的公共性评估模型评述,"徐磊青， 言语 - 新建筑, 2016 - airitilibrary.com","Airiti Library華藝線上圖書館.
",  Cited by 1 Related articles All 2 versions  ,1
2554,2016,330,"Spatial tools for diagnosing the degree of safety and liveability, and to regenerate urban areas in the Netherlands","A van Nes, M López, L de Bonth… - … in Urbanism Series, 2016 - journals.open.tudelft.nl","… Especially the overlap between the angular analyses with high and low metrical radii
appears to be important. When these two analyses do not correspond, the
neighbourhood lacks the spatial framework supporting urban vitality … 
",  Cited by 1 Related articles All 6 versions  View as HTML ,1
2573,2016,330,Future of cities: commoning and collective approaches to urban space,J Bingham-Hall - 2016 - eprints.lse.ac.uk,"… of communities through economic and social change. Commons do not necessarily
threaten or compete with the free market, which is to a degree an essential driver
of urban vitality. Allowing space for these type of undertakings … 
",  Cited by 1 Related articles All 2 versions  View as HTML ,1
1993,2013,276,[PDF][PDF] Nashville music industry,"G Harper, C Cotton, Z Benefield - 2013 - riaa.com","Page 1. NASHVILLE MUSIC INDUSTRY Impact, Contribution and Cluster Analysis Dr. Garrett
Harper Chris Cotton Page 2. 3Prologue Study of the Nashville Music Industry Music Industry
Cluster in the Economy The Role of the Cluster Linkages to the Nashville Economy … 
",  Cited by 1 Related articles All 5 versions  View as HTML ,1
2564,2016,330,Street in Motor Age From Infrastructure to Vibrant Network,"K XU, T SUN - Time+ Architecture, 2016 - en.cnki.com.cn","… on street will exhibit 4 main trends:enlarged research object,renewed research target,evolved
research instrument and renewed implementation methodology.Based on this statement,this
paper points out that the urban design of street,in which urban vitality enhancement is … 
",  Cited by 1 Related articles  Cached ,1
2785,2016,329,"Livability and Creativity: Civic Innovations at the Intersection of Arts, Culture, and Planning",JS Erickson - 2016 - search.proquest.com,"Page 1. Livability and Creativity: Civic Innovations at the Intersection of Arts, Culture, and Planning
A thesis submitted by Jennifer Sien Erickson In partial fulfillment of the requirements for the degree
of Master of Arts in Urban and Environmental Policy and Planning … 
",  Cited by 1 Related articles  ,1
2244,2014,238,Densidade e diversidade: as dimensões de compacidade urbana,RA Freire - 2014 - repositorio.unicamp.br,"… Page 8. viii Page 9. ix ABSTRACT Compact urban development is constantly associated to
sustainability and has as main characteristics, land use efficiency and urban vitality in different
periods of the day. Both aspects are related to two dimensions: density and diversity … 
",  Cited by 1 Related articles All 2 versions  View as HTML ,1
2463,2015,283,"Elwood, Indiana: A city-wide preservation study",JM Stowers - 2015 - cardinalscholar.bsu.edu,"Page 1. ELWOOD, INDIANA: A CITY-WIDE PRESERVATION STUDY A CREATIVE PROJECT
SUBMITTED TO THE GRADUATE SCHOOL IN PARTIAL FULFILLMENT OF THE
REQUIREMENTS FOR THE DEGREE MASTER OF SCIENCE IN HISTORIC PRESERVATION … 
",  Cited by 1 Related articles  View as HTML ,1
2028,2014,238,Recreating a Vibrant City Center in Response Urban Environments by Using AHP Model (Case Study: Qazvin City Historical Context in Iran),"MRS Moghadam, N Mousavi, G Solgi… - Sociology and …, 2014 - hrpub.org","… proposed. REFERENCES [1] M. Lopes, A. Camanho, Public Green Space Use and
Consequences on Urban Vitality: An Assessment of European Cities, Springer
Science Business Media journal, 2012 [2] S. Rastbin et al. the … 
",  Cited by 1 Related articles All 2 versions  View as HTML ,1
2029,2014,238,[PDF][PDF] Urban Integrated Activity Zone (UIAZ) in Shanghai,"S Zhanga, Y Chenb - Sociology, 2014 - davidpublisher.com","… 972 Figure 3. Shanghai City IAZ Structure Planning. environment. Public spaces will be returned
to residents and visitors in order to enable communication, recreation, and exercise to promote
urban vitality and comprehensive competitive power. CONCLUSIONS … 
",  Cited by 1 Related articles All 3 versions  View as HTML ,1
2031,2014,241,D'Urban Resilience-The Warwick Junction Precinct,"Y Luckan - L'architettura delle città-The Journal of the …, 2014 - architetturadellecitta.it","… The complexity of the Warwick Junction Precinct has realized an evolved urban identity
that is a true reflection people's aspirations, in place over time. Resilience and adaptability
of life is what ultimately defined the urban vitality of this precinct … 
",  Cited by 1 Related articles All 3 versions  View as HTML ,1
2374,2015,281,[PDF][PDF] The GIS-based research of measurement on accessibility of green infrastructure-a case study in Auckland,"J Ma, E Haarhoff - 2015 - mit.edu","Page 1. The GIS-based Research of Measurement on Accessibility of Green
Infrastructure – A Case Study in Auckland Jing Ma, Errol Haarhoff Abstract Green
infrastructure, the most important aspect of improving the quality of … 
",  Cited by 1 Related articles  View as HTML ,1
2375,2015,281,Study of Road Landscape Design at Portal Space of Small Towns in Guanzhong,"Q Hou, W Wang - The Open Construction and Building …, 2015 - benthamopen.com","… (4) Integrate into the texture Both sides of the road will inherit the traditional texture of ""big
community, small neighborhood"", paying more atten- tion to the feelings and needs of the people.
Turn the large scale to small neighborhood to stimulate the urban vitality … 
",  Cited by 1 Related articles All 3 versions  View as HTML ,1
2572,2016,330,Jane Jacobs's Perception and Impact on City Planning and Urban Renewal in Germany,"D Schubert - … Perspectives on Jane Jacobs—Reassessing the …, 2016 - books.google.com","… are still on the right track.” He also asked whether one could still speak of a “science of urban
planning” if its central theses turned out to be wrong.“One man's rush, restlessness, haste and
lack of soul is another man's pulsating life, the expression of urban vitality that has to be … 
",  Cited by 1 Related articles All 2 versions  ,1
2037,2014,241,Spatializing Commensality: The City as Public Dining Room,J Abedania - 2014 - rave.ohiolink.edu,"… By analyzing modes of commensality, this project explores a set of spatial strategies
to instigate sites of commensality—places for shared food consumption and urban
vitality—in the Over-the-Rhine neighborhood of Cincinnati … 
",  Cited by 1 Related articles  Cached ,1
2004,2013,276,Global architecture and the politics of competitiveness,AA Tarazona Vento - 2013 - discovery.ucl.ac.uk,"Page 1. GLOBAL ARCHITECTURE AND THE POLITICS OF COMPETITIVENESS By Amparo
Adelaida Tarazona Vento Submitted in accordance with the requirements for the degree of
Doctor of Philosophy in Planning Studies University College London … 
",  Cited by 1 Related articles All 2 versions  View as HTML ,1
2237,2014,238,[PDF][PDF] Plug&play places,"R Nadler - Lifeworlds of multilocal creative knowledge workers …, 2014 - researchgate.net","Page 1. Author TITLE Robert Nadler PLUG&PLAY PLACES LIFEWORLDS OF MULTILOCAL
CREATIVE KNOWLEDGE WORKERS OPEN SOCIOLOGY Page 2. Robert Nadler Plug&Play
Places: Lifeworlds of Multilocal Creative Knowledge Workers … 
",  Cited by 1 Related articles All 3 versions  View as HTML ,1
2704,2016,330,开放城市与有关美好城市生活的空间句法,"约翰， 封晨 - 新建筑, 2016 - airitilibrary.com","Airiti Library華藝線上圖書館.
",  Cited by 1 Related articles All 2 versions  ,1
2791,2016,329,[PDF][PDF] Articles on Parking Policy,G Mingardo - 2016 - verkeerskunde.nl,"Page 1. Articles on Parking Policy Giuliano Mingardo Delft University of Techonology
Page 2. Cover illustration by iStockphoto Page 3. Articles on Parking Policy Proefschrift
ter verkrijging van de graad van doctor aan de Technische … 
",  Cited by 1 Related articles All 5 versions  Library Search View as HTML ,1
1996,2013,276,Environmental justice advocacy within public horticulture institutions,A Johnson - 2013 - dspace.udel.edu,"Page 1. ENVIRONMENTAL JUSTICE ADVOCACY WITHIN PUBLIC HORTICULTURE
INSTITUTIONS by Abby Johnson A thesis submitted to the Faculty of the University
of Delaware in partial fulfillment of the requirements for … 
",  Cited by 1 Related articles All 2 versions  View as HTML ,1
2470,2015,283,How are you doing? enabling older adults to enrich sensor data with subjective input,"M Kanis, S Robben, B Kröse - Human Behavior Understanding, 2015 - Springer","… This research is also supported by ZonMW (EU-AAL project Care 4 Balance), COMMIT/ (VIEWW
project) and HvA's Urban Vitality program. References. 1. Chen, L., Hoey, J., Nugent, C., Cook,
D.: Sensor-based activity recognition. IEEE Trans. Syst. Man Cybern. Part C Appl … 
",  Cited by 1 Related articles All 5 versions  ,1
2565,2016,330,"Understanding walkability in the Libyan urban space: policies, perceptions and smart design for sustainable Tripoli","AAK Mohamed, MG Abdelmonem… - International Journal of …, 2016 - eprints.whiterose.ac.uk","… Jane Jacobs [1] described walkability as the core of urban vitality and vibrancy, the mixture of
short blocks, density, land use mix and building types creating a “sidewalk ballet” in which the
residents and visitors of the neighbourhood exist [1]. Walkability is often connected with … 
",  Cited by 1 Related articles All 8 versions  View as HTML ,1
2471,2015,283,"Smart City, Metropolitan Areas and Competitiveness: the Case Study of Florence","C Gargiulo, MR Tremiterra - Tema. Journal of Land Use, Mobility …, 2015 - camerablu.unina.it","… This model is considered a selective environment for creating knowledge and innovation, which
promotes strategies able to exploit intellectual and social capital to induce a ""new urban vitality""
(Lombardi et al., 2012) and it is characterised by the interaction of three different … 
",  Cited by 1 Related articles All 17 versions  View as HTML ,1
2796,2016,329,Restoring and Reintroducing Nature into the City,"T Beatley - Handbook of Biophilic City Planning and Design, 2016 - Springer","After centuries of degradation resulting from industrialization, pollution,
and general neglect, urban rivers around the globe are being reclaimed
by the cities they traverse. The Los Angeles River...
",  Cited by 1 Related articles  ,1
2548,2016,330,"[PDF][PDF] An analysis on physical-environmental quality of informal settlements and its role in the vitality of citizens, case study: Informal settlement of Qom city …","E Amini - Turkish Online Journal of Design Art and …, 2016 - tojdac.org","… developing countries. Along with all weaknesses of these neighborhoods from social,
economic, physical and social, they are faced with plenty of problems regarding
environmental quality issues and urban vitality, as well. The … 
",  Cited by 1 Related articles  View as HTML ,1
2696,2016,330,Centro Comercial Avenida: um espaço aberto à cidade,HSM Ramos - 2016 - repositorio.ufrn.br,"… fosters its relationship with the public realm. Its approach focuses on the attributes of
urbanity – a concept intrinsically related to urban vitality and the recognition of the other
in the city space. The research is justified by the perception … 
",  Cited by 1 Related articles  Cached ,1
3017,2017,369,"Death of buildings in consumer culture: natural death, architectural murder and cultural rape","S Anderson, A Tonner, K Hamilton - Consumption Markets & …, 2017 - Taylor & Francis","Page 1. Death of buildings in consumer culture: natural death, architectural murder
and cultural rape Stephanie Anderson, Andrea Tonner and Kathy Hamilton
Department of Marketing, University of Strathclyde, Glasgow, UK … 
",  Cited by 1 Related articles All 4 versions  ,1
2900,2017,369,[PDF][PDF] Co-existing City,C Zhang - 2017 - etd.ohiolink.edu,"… 5. Chapter 1, Figure 4, http://www.sydcch.com/upimg/al- limg/090616/0Z22WK3-0.jpg
6. Chapter 1, Figure 5, Preservation Green Lab, Older, Smaller, Better - Mea- suring
how the character of buildings and blocks influences urban vitality … 
",  Cited by 1 Related articles All 3 versions  View as HTML ,1
1911,2013,279,"[PDF][PDF] Integration of Housing Schemes, Social Interaction and Resident Well-being","LMC Dias, L Márcia - Proceedings of the Ninth International Space …, 2013 - sss9sejong.or.kr","… Since Jane Jacobs (1961), the circulation of people and appropriation of public space has
been mentioned as a crucial element to the urban vitality, as the number of encounters
increases potential interactions among users and urban security … 
",  Cited by 1 Related articles  View as HTML ,1
2135,2014,238,[PDF][PDF] Significant Issues in and around High-Rise Residential Environments,"G Arslan, A Sev - Re-thinking Residential Environment, Environment …, 2014 - academia.edu","… Additionally, in urban context high-rises provide efficient land use in population concentration
due to reduced suburban spread, more of ground floor for public recreation, increased “legibility”
of the city and urban vitality. Figure 4.Moulmein Rise, Singapore. Masoon Window [14] … 
",  Cited by 1 Related articles  View as HTML ,1
1906,2013,279,[HTML][HTML] Espaços liminares e vitalidade urbana: Foto-ensaio sobre a apropriação do espaço público em três bairros criativos.,"P Costa, R Lopes - Cadernos de Arte e Antropologia, 2013 - journals.openedition.org","… Espaços liminares e vitalidade urbana: Foto-ensaio sobre a apropriação do espaço público
em três bairros criativos. Liminal spaces and urban vitality: Photo-essay on the appropriation
of public space in three creative districts. Pedro Costa e Ricardo Lopes … 
",  Cited by 1 Related articles All 3 versions  Cached ,1
2897,2017,369,Planning green space in Adelaide city: enlightenment from green space system planning of Fuzhou city (2015–2020),"F Li, PC Sutton, SJ Anderson, H Nouri - Australian Planner, 2017 - Taylor & Francis","… globalisation. Public sites, and green spaces in particular, which are available in
varying extent in all urban areas, can bring important benefits to urban vitality and,
as a consequence, to quality of life (Lopes and Camanho 2013) … 
",  Cited by 1 Related articles All 4 versions  ,1
2145,2014,238,[PDF][PDF] City and Insecurity Feeling Creation,"P Peluso - Journal of Law and Criminal Justice, 2014 - academia.edu","… The concern becomes a social worry with effects on the community (internal
weakening). The social effect influences the dynamics of social cohesion negatively
with the decline of urban vitality. Page 11. Pasquale Peluso 77 … 
",  Cited by 1 Related articles All 4 versions  View as HTML ,1
2286,2015,283,[PDF][PDF] Researching and mapping the historic urban landscape,"M Turner, R Singer - Reconnecting the city: The historic urban …, 2015 - academia.edu","Page 1. Researching and Mapping the Historic Urban Landscape Michael Turner Rachel Singer
Introduction The Historic Urban Landscape Recommendations adopted by UNESCO in 2011
has set the scene for the bringing together and integration of the 1 … 
",  Cited by 1 Related articles All 2 versions  View as HTML ,1
2817,2016,329,The Emerging “Immigrant-Friendly” City: How and why cities frame themselves as welcoming places to immigrants,EA Shepard - 2016 - scholarworks.uvm.edu,"Page 1. University of Vermont ScholarWorks @ UVM … 
",  Cited by 1 Related articles All 3 versions  View as HTML ,1
2403,2015,280,[HTML][HTML] 아파트 브랜드 TV 광고의 감성이미지표현 방식 및 소비자 반응 분석-광고 사례분석 및 설문조사를 중심으로,"이재호 - 대한건축학회연합논문집, 2015 - earticle.net","… The main of this study is finding about the urban planning of Barcelona which to
approach from the social aspect. Based on the “Urban Vitality” Cerda proposed
to apply “Physical Component” and urban planning orientation … 
",  Cited by 1 Related articles All 2 versions  Cached ,1
2545,2016,330,Methods of Assessing Public Urban Spaces and Their Implications for Research in China,"Y WANG, J CHEN - Urban Planning Forum, 2016 - en.cnki.com.cn","… 规划师;2015-S2. 3, Xu Leiqing;Liu Nian;Lu Jiwei;;The Impact of Density,Ratio and
Microcosmic Quality of Public Space on Urban Vitality:Microscopic Observation of
Shanghai Rail Transit Station Areas[J];新建筑;2015-04. 4, XU … 
",  Cited by 1 Related articles  Cached ,1
1891,2013,279,[PDF][PDF] Survival of the fittest among migrant entrepreneurs. A study on differences in the efficiency performance of migrant entrepreneurs in Amsterdam by means of …,"M Sahin, P Nijkamp, S Suzuki - 2013 - dare.ubvu.vu.nl","… A creative 'break-out' action line may strengthen the economic position of migrants and
also contribute to urban vitality by bringing new opportunities to the multicultural Dutch
cities in the Netherlands. According to Baycan-Levent et al … 
",  Cited by 1 Related articles All 6 versions  View as HTML ,1
2406,2015,280,Case Study: Sustainability Planning in New York City,"SA Cohen, C Small, M Silva, H Martinez - 2015 - academiccommons.columbia.edu","… The Need for Urban Sustainability By 2030, over sixty percent of the world's population will reside
in cities (World Health Organization, 2013). Adopting sustainability practices is central to urban
vitality and to making cities desirable places both for businesses and residents … 
",  Cited by 1 Related articles All 3 versions  View as HTML ,1
2224,2014,238,Food Cart Economics: A Comprehensive Analysis of Portland's Street Food Market,JJ Glicker - 2014 - scholarsbank.uoregon.edu,"Page 1. Food Cart Economics A Comprehensive Analysis of Portland's Street Food
Market Jake Jamal Glicker Presented to the Robert D. Clark Honors College of the
University of Oregon And the University of Oregon Department … 
",  Cited by 1 Related articles  View as HTML ,1
2901,2017,369,Shrinking smart: US population decline and footloose human capital,"RS Franklin - Demographic transition, labour markets and regional …, 2017 - Springer","This chapter posits that a telling sign of urban vitality is the extent to which cities possess human
capital and suggests that this indicator could be particularly illuminating within the context of … 
",  Cited by 1 Related articles All 3 versions  ,1
2703,2016,330,当代城市活力营造的若干思考,"蒋涤非， 李璟兮 - 新建筑, 2016 - airitilibrary.com","Airiti Library華藝線上圖書館.
",  Cited by 1 Related articles All 3 versions  ,1
1948,2013,279,City skin: a cultural hub in Pretoria,A Smook - 2013 - repository.up.ac.za,"… The proposed design will develop a synthesis between the arts, culture, economy and urban
vitality by creating a platform for artists … intermediary. Its aim is to develop a synthesis between
the arts, culture, economy and urban vitality by creating a … 
",  Cited by 1 Related articles All 2 versions  View as HTML ,1
2702,2016,330,基于城市复兴的古城更新——连云港海州古城城市设计,"卢济威， 张力 - 城市规划学刊, 2016 - airitilibrary.com","Airiti Library華藝線上圖書館.
",  Cited by 1 Related articles All 3 versions  ,1
2551,2016,330,[PDF][PDF] The conservation of Modernist urban ensembles: Case studies from Amsterdam,"N Clarke - International Planning History Society Proceedings, 2016 - pure.tudelft.nl","… The Veere experience was to become greatly influential in the urban conservation tradition
of the Netherlands,5 becoming a hard-earned lesson of the urgency to ensure a functional
and sustainable urban vitality over art-historical considerations. Page 4 … 
",  Cited by 1 Related articles All 7 versions  View as HTML ,1
2701,2016,330,[PDF][PDF] A study on the correlation between spatial configuration and rail passenger volume in different scales–take Fuxia region as an example,"M Li, Z Shen, Q Sheng, B Duan, L Li - International Journal of …, 2016 - researchgate.net","… He is also a Senior Consultant in UCL Space Syntax Ltd. His research interests include the
relationship between street pattern and urban vitality, commercial building design and spatial
strategy for TOD based on the empirical research of pedestrian movement … 
",  Cited by 1 Related articles All 4 versions  View as HTML ,1
1941,2013,279,"The Loss of Low Cost Coastal Caravan Parks-Causes, Cases and Social Consequences","HJ Gilbert - State of Australian Cities Conference (SOAC), 2013 - opus.lib.uts.edu.au","Page 1. 1 The Loss of Low Cost Coastal Caravan Parks – Causes, Cases and Social
Consequences Helen Gilbert School of the Built Environment, University of
Technology, Sydney helen.gilbert@uts.edu.au Abstract: Caravan … 
",  Cited by 1 Related articles All 2 versions  View as HTML ,1
2120,2014,240,[PDF][PDF] Next Generation Sustainable Transport Solutions in the Context of the post-2015 Development Agenda,"M Pai, T Gupte - Background Paper presented at the 8th Regional …, 2014 - Citeseer","… Page 10. 9 urban vitality (Stefanie Seskin 2012). As of July 2013, more 495 regional and local
jurisdictions, 27 states have adopted policies or have made written commitment for complete
streets, while in 2005 only about 30 jurisdictions installed this policy (NCSC 2014) … 
",  Cited by 1 Related articles All 2 versions  View as HTML ,1
2124,2014,239,Urban vitality: over (zorg) vrijwilligers in de regio Amsterdam,"Y Wittenberg, R Kwekkeboom - 2014 - narcis.nl","De Hogeschool van Amsterdam voert, in nauwe samenwerking met een aantal stedelijke partners, het project 'Informele zorg en diversiteit'uit. Het project richt zich onder andere op zorgvrijwilligers. In de zomer van 2013 werkten 379 vrijwilligers in zorg en/of welzijn aan het …",  Cited by 1 Related articles  Cached ,1
2800,2016,329,Evaluating integrated Human Settlements by means of sustainability indicators,C Ackerman - 2016 - repository.nwu.ac.za,"Page 1. Evaluating Integrated Human Settlements by means of sustainability indicators
C. Ackerman 21827168 Dissertation submitted in fulfillment of the requirements for the
degree Magister Artium et Scientiae in Urban and Regional … 
",  Cited by 1 Related articles  Library Search View as HTML ,1
2277,2015,283,"The Role of Public Urban Spaces in Creating a Vivacious Society: A Case Study in Tabriz, Iran","M Farrokhi Kaleybar, S Asadi… - … Online Journal of …, 2015 - european-science.com","… Effective factors of urban spaces lives, Hoviyat magazine, 4(6), 63-74 . Landry, C T. (2000). Urban
vitality: A new source of urban competitiveness , Prince clause Fund Journal, ARCHIS issue
'Urban Vitality / Urban Heroes. Lennard, SK, & Lennard, H. (1998) … 
",  Cited by 1 Related articles All 5 versions  View as HTML ,1
3003,2017,369,Streetlife Rhythms,"E Pafka - Mapping Urbanities, 2017 - content.taylorfrancis.com","… streetlife, functional mix and morphology. What she referred to as urban vitality, since
referred to as urban intensity or buzz, was linked to four preconditions: functional
mix, grain size, permeability and density. In this framework a … 
",  Cited by 1 Related articles All 3 versions  ,1
2225,2014,238,"Creating Sustainable Human Settlements using Integrated Housing Developments on infill Sites: A Case Study of Fleurhof, Johannesburg",MM Khan - 2014 - wiredspace.wits.ac.za,"Page 1. 1 UNIVERSITY OF THE WITWATERSRAND Creating Sustainable Human
Settlements using Integrated Housing Developments on Infill sites A case study of
Fleurhof, Johannesburg By Mohamed Mubeen Khan: 07 06 792F … 
",  Cited by 1 Related articles  View as HTML ,1
2208,2014,238,"A medição da capacidade criativa e cultural das cidades, um contributo para a sua operacionalização","B Rato, B Vasconcelos, P Costa - 2014 - repositorio.iscte-iul.pt","… 1 Este paper foi preparado no âmbito do projecto de investigação CreatCity - ""A governance
culture for the creative city: urban vitality and international networks"", conduzido pelo
DINÂMIA-CET/ISCTE e financiado pela Fundação para a Ciência e a Tecnologia/Ministério da … 
",  Cited by 1 Related articles  View as HTML ,1
2644,2016,330,"Inclusive city, strategies, experiences and guidelines","F Alessandria - Procedia-Social and Behavioral Sciences, 2016 - Elsevier","… degradation etcĂ; the second level is related to Page 4. 9 Francesco Alessandria /
Procedia - Social and Behavioral Sciences 223 ( 2016 ) 6 – 10 supporting the urban
vitality. It acts on functions's distributions into the city, on … 
",  Cited by 1 Related articles All 3 versions  ,1
1311,2010,153,Revitalising historic Cairo: examining the public policy formulation and implementation,RY Gharib - 2010 - eprints.nottingham.ac.uk,"Page 1. Gharib, Remah Younis (2010) Revitalising historic Cairo: examining the public policy
formulation and implementation. PhD thesis, University of Nottingham. Access from the University
of Nottingham repository: http://eprints.nottingham.ac.uk/11520/1/RYGHARIB.pdf … 
",  Cited by 1 Related articles All 2 versions  View as HTML ,1
1210,2010,156,Public Perth,"R Weller - Landscape Architecture Australia, 2010 - search.informit.com.au","… who along with her bureaucracy, the Perth eity Council (pee), is determined to the CBD to tife.
The East Perth Redevelopment Authority (EPRA), whose borders overlap with the pec. also wants
urban vitality and places a on design. It might not be your or my idea of design … 
",  Cited by 1 Related articles All 3 versions  ,1
3131,2017,369,Strabo: From maps to words,"P Moret - The Routledge Companion to Strabo, 2017 - content.taylorfrancis.com","… are living in peace and better than they were earlier” (6.3.4). In Taranto, as in Reggio, the urban
vitality is provided by Roman settlers; Strabo seems to suggest that Roman intervention has
allowed both cities to escape the fate of decadence that had hit the Southern regions … 
",  Cited by 1 Related articles All 2 versions  ,1
1644,2012,240,Temporary Services for Shrinking Cities,"T Schwarz - Available at SSRN 2016931, 2012 - papers.ssrn.com","… Designerosa). At the moment, it is all but impossible to restore urban vitality to
neighborhoods and sites throughout Cleveland, but temporary uses create a
short-term burst of energy that can be moved around from place to place … 
",  Cited by 1 Related articles  ,1
3522,2018,361,[HTML][HTML] Обнажённый город Смерть и жизнь аутентичных городских пространств,"Ш Зукин - Экономическая социология, 2018 - cyberleninka.ru","Книга Шэрон Зукин «Обнажённый город» является продолжением её предыдущих работ
«Жизнь в лофтах» («Loft Living», 1982) и «Культура городов» («The Cultures of Cities», 1995)
и представляет обновлённый взгляд автора на то, как люди используют капитал и … 
",  Cited by 1 Related articles All 24 versions  Cached ,1
1642,2012,240,[PDF][PDF] Extended 'Stop and Search'Powers in Australia: A challenge for relations between police officers and citizens,"D Baldino, M Drum - 2012 - researchonline.nd.edu.au","… al. 2008, 119). Further, once this is achieved, there may be a broadening of the
types of people who use public space, thus encouraging urban vitality and the
building of a sense of community (Levi 1998: 178ff). The efficacy … 
",  Cited by 1 Related articles All 5 versions  ,1
3132,2017,369,"Modern Christian Landscape in Nanjing, China: A Literature Review","C Fang, B Yang - Sustainability, 2017 - mdpi.com","Between the First Opium War in 1840 and the founding of the People's Republic of China in 1949,
the development of modern Christianity in Nanjing expanded beyond the parameters of faith
and spirituality, while interacting closely with Nanjing's city life and space across a wider … 
",  Cited by 1 Related articles All 10 versions  Cached ,1
1368,2011,169,[PDF][PDF] Urban Change. The Prospect of Transformation,"I Mironowicz, J Ryser, P HAWRYLAK - 2011 - researchgate.net","Page 1. EDITED BY IZABELA MIRONOWICZ & JUDITH RYSER Page 2. EDITED BY GRAPHIC
DESIGN VISUAL IDENTIFICATION SYSTEM LAYOUT COOPERATION WITH IZABELA
MIRONOWICZ / JUDITH RYSER PAWEŁ HAWRYLAK WITH IZABELA MIRONOWICZ … 
",  Cited by 1 Related articles All 2 versions  View as HTML ,1
934,2007,146,[HTML][HTML] Street network connectivity and local travel behaviour: assessing the relationship of travel outcomes to disparate pedestrian and vehicular street network …,C Hawkins - 2007 - open.library.ubc.ca,"Learning, knowledge, research, insight: welcome to the world of UBC Library,
the second-largest academic research library in Canada.
",  Cited by 1 Related articles All 2 versions  Cached ,1
714,2005,81,[PDF][PDF] Planning for creativity: The case of Winnipeg's Exchange District,"N Medeiros - Masters Abstracts International, 2005 - collectionscanada.gc.ca","Page 1. UNIVERSITY (OF CALGARY Planning for Creativity: The Case of Winnipeg's
Exchange District by Nelson Medeiros A MASTER”S DEGREE PROJECT
SUBMITTED TO THE FACULTY OF ENVIRONMENTAL DESIGN … 
",  Cited by 1 Related articles All 2 versions  ,1
713,2005,81,[PDF][PDF] Architectural Elaboration of the “Public” in the Domestic Architecture of Late Antique Anatolia: Changes and Transformations in the Private Setting,"E Çonkır - Unpublished MA dissertation, Ankara: Middle East …, 2005 - etd.lib.metu.edu.tr","Page 1. ARCHITECTURAL ELABORATION OF THE 'PUBLIC' IN THE DOMESTIC
ARCHITECTURE OF LATE ANTIQUE ANATOLIA: CHANGES AND 
TRANSFORMATIONS IN THE PRIVATE SETTING A THESIS SUBMITTED … 
",  Cited by 1 Related articles  View as HTML ,1
3398,2018,363,[HTML][HTML] Design with forms as well as patterns,"J Cai - A+ BE| Architecture and the Built Environment, 2018 - superheroscitech.tudelft.nl","… Huazhong Architecture, (3), 283–286. Zhou. J. (2012). Urban Vitality in Dutch and Chinese New
Towns: A comparative study between Almere and Tongzhou. Delft University of Technology,
Delft. Download PDF. How to Cite. CAI, Jiaxiu. Design with forms as well as patterns … 
",  Cited by 1 Related articles All 7 versions  Cached ,1
3254,2018,367,Nanosilica-added concrete: strength and its correlation with time-dependent properties,"L Varghese, VVLK Rao… - Proceedings of the …, 2018 - icevirtuallibrary.com","… and Lakshmy Parameswaran. Impacts of traffic calming interventions on urban vitality. Osias
Baptista Neto. and Heloisa Maria Barbosa. DISCUSSION. EXTRAORDINARY FLOODS IN
SOUTHERN INDIA: THEIR CAUSES AND DESTRUCTIVE EFFECTS ON RAILWAY WORKS … 
",  Cited by 1 Related articles  ,1
1317,2010,153,The impact of affordable housing on taxable property valuation in a poor city,G Harris - 2010 - rucore.libraries.rutgers.edu,"Page 1. © 2010 Gwendolyn Long Harris ALL RIGHTS RESERVED Page 2. The Impact of
Affordable Housing on Taxable Property Valuation in a Poor City By Gwendolyn Long Harris
A Dissertation submitted to the Graduate School-New Brunswick … 
",  Cited by 1 Related articles All 4 versions  View as HTML ,1
533,2003,73,[PDF][PDF] The search for brownfield leadership in Central European Cities,"J Jackson, Y Garb - Institute for Transport and Development Policy …, 2003 - academia.edu","… city interests. The urban benefits of brownfield rehabilitation Urban brownfields--
especially when as extensive as in central European cities--constitute a significant
drag on urban vitality and quality of life. These embedded areas … 
",  Cited by 1 Related articles  View as HTML ,1
